genes;p_value;beta_coef;std_err;fdr_bh_adj_pval
GPT;1,77E-180;-0.05442318587986155;0.0018171563850382265;3,28E-178
THRA;1,69E+08;0.03540847881846632;0.006276194991673546;0.00015650150581636955
HIST1H4J;1,50E+11;0.055788337474851214;0.012886063949944453;0.06889346728252056
ANKH;1,65E+10;-0.01390070258016601;0.0032265426059549522;0.06889346728252056
YPEL5;2,00E+11;0.1183617099791475;0.027751095876026078;0.06889346728252056
RSPO3;2,23E+11;0.032355869443085265;0.007629484131767151;0.06889346728252056
RWDD3;3,24E+10;0.026515466522007175;0.006379498946333348;0.07536387840813479
DCAF8L2;3,25E+10;0.048990312805228024;0.01178957389077094;0.07536387840813479
ABCC2;3,92E+11;0.004697131451681245;0.0011422026749874764;0.07863285572857773
DHH;4,39E+10;0.02124125904129047;0.00519860507113045;0.07863285572857773
LBX1;5,07E+09;0.014345844667390643;0.003540192897372571;0.07863285572857773
VWC2L;5,09E+10;0.01727298340598915;0.004263038001378872;0.07863285572857773
ADGRE3;7,54E+10;0.007730696067705759;0.0019528221504048148;0.10760352119272137
TMC4;9,12E+09;0.010745909286454865;0.002746240625576324;0.12090017668455923
CEP112;0.00011581023805606117;0.005650921028340261;0.0014658927687591255;0.14155744432790862
TAC3;0.00012205858532262006;0.04170151888709683;0.010853952407633824;0.14155744432790862
SLC30A10;0.00021793599775212467;0.012860489371687591;0.0034782926767219806;0.2378835514287309
PHF6;0.00024680399843052627;0.08339523095053483;0.02275049478243947;0.24466145503996747
ACVR2B;0.00027236716089838503;0.014532906268562455;0.0039921781103055215;0.24466145503996747
SHBG;0.00030650619671494914;0.011185530317971778;0.0030986348118453534;0.24466145503996747
CAAP1;0.0003077495125392942;0.008764280136615354;0.0024286025602254452;0.24466145503996747
C1orf68;0.0003185224178364275;0.022255792128653158;0.006182444236378091;0.24466145503996747
ZCCHC6;0.0003215795611924936;0.006510488527011383;0.0018098001199900796;0.24466145503996747
CBLL1;0.00032709343404200387;0.023621809903678747;0.00657453292581491;0.24466145503996747
SMC1B;0.00032962580168135303;0.011272358139173145;0.0031391313040038792;0.24466145503996747
KRT32;0.00036281209577101504;0.00886048165038957;0.0024848247019147772;0.2589362018894983
CHST9;0.0004054434841258638;0.011833677507659282;0.0033460631923015677;0.2786447885718344
EIF4ENIF1;0.00044775286725782246;-0.00581573312135775;0.0016567669292469006;0.2887962376069731
C11orf71;0.0004617205481426396;0.03736564358159515;0.010669453925446411;0.2887962376069731
MVB12B;0.0004669048894270959;0.023519041069384954;0.006721381874559413;0.2887962376069731
RIN1;0.0005123504230888409;0.006064567532056538;0.0017455544117726326;0.29435714237808935
VSIR;0.0005425593367742905;0.007066143129009838;0.0020428925942484466;0.29435714237808935
GMEB1;0.0005617785570555423;0.008095726929244361;0.002346925574231885;0.29435714237808935
LRMDA;0.0005656832350454658;0.016602811568484265;0.004815714070486823;0.29435714237808935
OGT;0.0005807058231840733;0.049112277570500976;0.014274561382930324;0.29435714237808935
RUNX2;0.0005812558126270393;0.013239344499786587;0.0038483230496788906;0.29435714237808935
ELF3;0.000614671986928206;0.014107950569281486;0.00411895174849352;0.29435714237808935
KRTAP17-1;0.000623766166399242;0.1032932707251163;0.03019265633990679;0.29435714237808935
IL34;0.0006354330716023486;-0.011668145917359263;0.0034156380013749855;0.29435714237808935
MIXL1;0.0006480501469039376;0.012965644965436233;0.0038014196598262565;0.29435714237808935
FAM155B;0.0006530937629854055;0.025226372558945546;0.007400752008001401;0.29435714237808935
ADAMTS1;0.0006789813454870248;0.0037886818705453874;0.0011149734331997066;0.29435714237808935
DGKI;0.0006897044994166163;0.009031762458287655;0.0026613222684316058;0.29435714237808935
SOX21;0.0007105472967753872;0.027298487409554883;0.008063237320156959;0.29435714237808935
CHAD;0.0007209426272164113;0.006981957424859697;0.0020647144686607535;0.29435714237808935
IRF2;0.0007427515544637912;0.020722069998276856;0.006142850735562745;0.29435714237808935
CP;0.000746708201898168;0.005448476779533496;0.0016158473762943474;0.29435714237808935
DKK3;0.0007815914393079857;-0.016668464813158153;0.004961880527327333;0.29435714237808935
GMIP;0.0008178190877749447;-0.005012105584234796;0.0014975981824029844;0.29435714237808935
MYLIP;0.0008338971200154516;0.011814893348563733;0.0035359522712399886;0.29435714237808935
FTL;0.0008344171499900137;0.01759691040167337;0.005266662748913747;0.29435714237808935
CREB3L3;0.0008485418352466193;-0.010027886206181605;0.0030054885178588835;0.29435714237808935
GART;0.0008711602155611028;0.008173723344114828;0.0024551579822282145;0.29435714237808935
TUFT1;0.0008890627829625057;0.0093996034480994;0.0028281946967336096;0.29435714237808935
PROCR;0.0009066326010761277;0.012904294184468887;0.0038890937402988506;0.29435714237808935
NEK7;0.0009144562994735321;0.010462696161284268;0.0031555286721446;0.29435714237808935
KRTDAP;0.0009158816638823647;0.024313521247481595;0.00733387335178913;0.29435714237808935
RNF213;0.0009200643596642155;-0.003187909226245409;0.0009619630885460553;0.29435714237808935
CTRB1;0.0009395044203505353;0.02041392883295828;0.006170872226082408;0.29548210210211073
FBXO40;0.0009710475900057838;-0.006522970743659515;0.001977346313399459;0.3003126513357887
ATG101;0.001022731764754575;0.021369021444570268;0.006506486745034928;0.31059777161398144
C6orf47;0.001044574975627277;-0.010282515667167787;0.0031365354749342935;0.31059777161398144
GZMM;0.001054519272024188;-0.005188355132394772;0.0015839267656334059;0.31059777161398144
BMPR2;0.0011161168142496155;0.01009103101677179;0.0030958282348583425;0.3236041188314979
CEBPG;0.001143976708810009;0.017778602868644862;0.005466038629140743;0.3265789509027466
RHNO1;0.0011777541898634993;0.00568075260931574;0.001751006822469634;0.3291301372550059
SMIM22;0.001188387540207232;0.025952081022532984;0.00800565943738356;0.3291301372550059
MRPL38;0.0013193900384911663;0.006649785549147646;0.002070429109746648;0.36003825815061885
SLC12A4;0.001346910849078988;-0.0045099010281627544;0.0014067702745812866;0.3622214161668073
BEND4;0.0014087038644340706;-0.012884214430040593;0.0040352409629521475;0.3734272701205516
LPIN2;0.001447567613453377;0.005661338231807624;0.0017774692382754992;0.37365348919996666
PSMD9;0.001449830309463117;0.01105306924172533;0.003470783498580866;0.37365348919996666
REPS1;0.0016181396069186737;-0.009284977441503701;0.002945109660868872;0.41131778830113574
ELMSAN1;0.0016949245673937656;-0.005687592412676874;0.0018118454689827013;0.42501378746700963
KIZ;0.0017539263790336442;0.03156323705736868;0.010087084680381855;0.42938382755587823
AOX1;0.0017586317576119177;0.0039315562621399375;0.0012567761167988879;0.42938382755587823
ANKRD9;0.0018864512865316187;0.016982886971801073;0.005464940626088369;0.4488531275419424
INSR;0.0018867505900124761;-0.004817269887952764;0.0015501776132785332;0.4488531275419424
CCDC17;0.002031759984489252;-0.005859546857118538;0.0018989939165753057;0.4772321300276274
UNC13D;0.002169435813641426;-0.003845548828631233;0.0012542336966934887;0.5032006369741286
EIF4EBP2;0.0022077922448870972;0.01385012024976592;0.004524985037258255;0.5045034951429913
HNRNPA2B1;0.0022294291119705372;0.03511926498731482;0.011484808512387803;0.5045034951429913
TRIP4;0.002329476549123515;0.006827575432642872;0.002242439853154768;0.5207923716329631
GIMAP2;0.002391595937564952;-0.008247882465863193;0.002715993045208749;0.5283149311601816
IST1;0.0024711351045771856;0.015263301993474358;0.005042541426238783;0.5286745753693434
YWHAE;0.0024737077654469267;0.03699118054774301;0.012222057049472929;0.5286745753693434
CAND2;0.002524613987743194;0.003745472375712654;0.0012400468295760514;0.5286745753693434
CUL2;0.00256337988840636;0.008584898206892939;0.0028466309176370967;0.5286745753693434
SCRIB;0.002604266302942803;0.004824278940184035;0.0016022138870847283;0.5286745753693434
BRINP2;0.0026112257307140396;0.0070013241418454795;0.0023258686421249904;0.5286745753693434
MITF;0.002722530517132839;-0.0067796857843513214;0.0022617828055700407;0.5286745753693434
TMEM95;0.0027646044815321383;0.011543734957551269;0.003857144954924085;0.5286745753693434
CT45A1;0.002775143388333723;0.20997533252533232;0.07018696733626092;0.5286745753693434
OR51S1;0.002775253754946932;0.008048742051883098;0.0026904069236087574;0.5286745753693434
PGM5;0.0027852729761482127;0.006567512023287418;0.002196092488151658;0.5286745753693434
DLK1;0.002798345904012223;0.009665965268137655;0.0032337226490779533;0.5286745753693434
SPECC1;0.002803562816386223;-0.007266360036721605;0.0024314041384065;0.5286745753693434
LYZL1;0.002811051702093837;-0.015314910574364609;0.005125936280534719;0.5286745753693434
ZNF76;0.0028520128558390946;-0.0070048207985936965;0.0023480071644509694;0.5286745753693434
ABLIM2;0.0028778784323523154;-0.005199513889263144;0.001744486950213486;0.5286745753693434
SLC25A46;0.00290382145681545;0.009339000379230808;0.0031362179854940195;0.5286745753693434
XAF1;0.002906057700348837;-0.007865227224247262;0.0026415056246105306;0.5286745753693434
ISLR2;0.002952705994978913;0.011732163489141025;0.0039466761562248175;0.5319457518721235
TFAP2B;0.0030343998467684723;-0.017250025481138135;0.0058192943364222816;0.541406957275344
CDSN;0.003084180929914808;-0.005822783858186449;0.001967641711563951;0.5439930556276824
PKD2L2;0.003107526616540975;-0.007295369502157696;0.0024671975812902347;0.5439930556276824
HLA-A;0.003197549449972515;0.006717573763365757;0.002278589191796067;0.5474786099443888
IGFBPL1;0.003246977035166803;0.008800018866710882;0.0029897633328549974;0.5474786099443888
GPR153;0.003272703105428199;0.004747857302846137;0.0016144017236152848;0.5474786099443888
B3GALNT2;0.003274323540911015;-0.00755889377739803;0.0025703652632006278;0.5474786099443888
ALDOA;0.0032749582724632006;0.012084057683878406;0.004109209267014922;0.5474786099443888
CHST8;0.0034140366798878267;0.007755086743399241;0.0026487606379195696;0.561793915393889
PQLC2L;0.0034211420801632604;0.035272656312345316;0.012050085756409253;0.561793915393889
HSD11B1;0.003480137027935959;0.027896076945147345;0.009547405338105752;0.5664686200910496
C4orf32;0.003562213271329145;0.020124667807303397;0.006904825005090468;0.5726326816014444
DDX47;0.00360519715702699;-0.0072826943736857734;0.002501926726025653;0.5726326816014444
TEKT2;0.00365474100053534;-0.008246341193251627;0.0028371415275234434;0.5726326816014444
PHYH;0.0037030076035948867;0.0051868992291799615;0.0017870703876199945;0.5726326816014444
MMD;0.003722600633624269;0.021887511058787838;0.00754532063772818;0.5726326816014444
OTUD7A;0.003728953275041439;-0.010058777436653035;0.0034682191704441053;0.5726326816014444
MEX3B;0.0037340242764483064;0.013472792476624482;0.004646037907768256;0.5726326816014444
BUD31;0.0037948525686954783;0.02000633813169015;0.006911186236828717;0.5766479632703615
APOF;0.0038223593167845695;-0.024363061670623125;0.008422815176959097;0.5766479632703615
SLC2A11;0.003880636815332571;0.005250990068745246;0.0018183664217496663;0.5807185221396063
PRM2;0.0040325587327882375;0.03249226180205718;0.01129910418486784;0.5959076900010017
SYNPO;0.0040463660778252974;0.007187425084025451;0.002500347815239893;0.5959076900010017
OR4N4;0.00416834027162081;0.0322957991241136;0.011271828153645308;0.6065692541009275
GAK;0.004197910659403315;0.005382401297407795;0.0018800264032405038;0.6065692541009275
EZH1;0.00421682656709526;0.011276843428608727;0.003940865692324727;0.6065692541009275
ZMYM2;0.004270503676491036;-0.007909891752871392;0.002768114038371782;0.6095651247766743
ANXA10;0.004353001453879546;0.0069182365857984865;0.002426239140125411;0.616597671589228
LACC1;0.004431525468028771;0.017988554622599053;0.006321233351067592;0.6175505932518897
ADPGK;0.0045222012401494194;0.007216049202721625;0.0025415084936915903;0.6175505932518897
GSG1L;0.004525889290898696;0.00780770951155141;0.0027501445287137654;0.6175505932518897
HMGA2;0.004572609969414175;0.04092170129558371;0.014430700745286806;0.6175505932518897
CSNK1G3;0.004586971225447433;0.01572185651949499;0.005546142422576008;0.6175505932518897
AATF;0.00458894494703237;0.006226253610071651;0.002196519460327602;0.6175505932518897
APP;0.004592691413492173;-0.0074180187225712044;0.002617195280531015;0.6175505932518897
KAT2A;0.004680409487092759;0.007975287454166926;0.0028198286961284877;0.6248178305215341
ST3GAL3;0.004719479801563462;0.013043713360247032;0.004616221219194288;0.6254802429213142
SLC2A8;0.004752786928858876;0.005661139158756028;0.0020050986411804454;0.6254802429213142
SLC22A5;0.004787363764573368;-0.004028088881392981;0.001427870054483883;0.6255938170100241
AFG3L2;0.0049077664155721306;-0.006535505849528285;0.0023232651946304543;0.6351928413471387
SLC45A3;0.004999598783218828;0.007627782638163384;0.00271731534263802;0.6351928413471387
ANKRD46;0.0050253770511455515;0.022514148185973477;0.008025160081450301;0.6351928413471387
CCDC130;0.005074304569615393;-0.00618514409615165;0.002207150326721889;0.6351928413471387
ANKRD22;0.005094293372408057;-0.010383984254346062;0.0037071721085243626;0.6351928413471387
RNF125;0.005130823079617831;-0.01009111046438375;0.0036055828260131;0.6351928413471387
