genes;p_value;beta_coef;std_err;fdr_bh_adj_pval
ALPL;1,06E-87;-0.21036533969007754;0.0042379513843159135;7,83E-85
ASGR1;1,06E-87;0.17328495368476576;0.008006979094325978;7,83E-85
GPLD1;1,27E-87;-0.06648232081651664;0.0030731113069502043;7,83E-85
ABCB11;1,30E+06;0.024428432222687254;0.003800635815244567;6,04E+06
PKD1;3,48E+04;-0.01012897905008065;0.0016138534694894377;1,29E+10
HSPG2;1,04E+08;-0.007227590680398362;0.0012626442967385689;2,92E+10
B4GALNT3;1,10E+07;0.017219512345058564;0.0030132019379836904;2,92E+10
EDEM1;2,24E+09;0.027640083239447163;0.005337383454588049;0.000519276903330388
SQSTM1;7,44E+08;0.019455968694462086;0.003930718163108141;0.0015340001282074418
GBGT1;1,97E+10;-0.015725825441384695;0.0033062446112086708;0.0036604175887185344
CCL17;2,44E+10;0.08163684700406743;0.01732213559607908;0.004124262452984468
ACTB;4,92E+09;0.33183884996693325;0.07263600184711903;0.007601597211068879
ZNF800;9,42E+09;-0.048958576883633524;0.011051291847906299;0.013452841414574115
DOK4;1,09E+11;0.03355340162194955;0.007628276774235884;0.01445390915762548
ADH1B;1,54E+11;-0.015107659947890857;0.003494260616572134;0.019005104912868956
VBP1;1,93E+09;0.1930300949631988;0.04517927111591119;0.022427750461082818
MLLT1;2,06E+11;0.03194908652008923;0.007502772435012159;0.022497806621698188
ZNRD1;2,43E+10;0.032770370714193614;0.007762732658533884;0.025033053496524797
LRRC37A;2,80E+10;0.1920735998414563;0.04585189526080557;0.027379968325987294
RNF181;4,54E+11;0.03570450982561114;0.008754824606954962;0.0414882737821049
OSGIN1;4,85E+10;-0.010569407588883814;0.0026015805924395163;0.0414882737821049
NR1H4;4,92E+10;-0.02040979702400388;0.00502757405051842;0.0414882737821049
G6PC;5,62E+11;0.02509017682849484;0.0062281123557735105;0.04530380980043766
FCGRT;6,89E+10;0.01774056637561842;0.00445708399527694;0.053239836110268286
ZC3H7B;8,19E+10;0.014932166355173936;0.0037909547296612733;0.05900352536344028
RPRML;8,27E+10;0.07349124759150187;0.018668586892452595;0.05900352536344028
OR5D18;9,67E+10;0.03305521081083402;0.008478232223683522;0.06645851253180986
ATXN7L2;0.00010566907109843434;0.029063610066115582;0.00749583997636082;0.070028402975091
MAU2;0.00016378942801706468;0.06910942913477704;0.018334957038871277;0.10480264228567765
HLA-F;0.0001749135637264137;0.048357663973196525;0.012885634097455932;0.1081898696169111
G6PC2;0.0001911341371652795;-0.009526487386399052;0.0025536409413829107;0.11440919513673956
SYNJ2;0.00020903389508271543;-0.007534747272774339;0.0020320602738318387;0.12121352991108961
C7orf57;0.0002969540173116747;-0.018216623887274998;0.005034955976314374;0.1669781437950132
ATP6V1E1;0.000307566461532405;0.058528093846311004;0.01621757823973409;0.16732053056061322
CYP4F3;0.0003155970343620103;-0.01151133622782856;0.003195608723592446;0.16732053056061322
PCSK1N;0.0003538453504884533;0.051373877692623186;0.014380793758686217;0.18054180203965722
EFCAB12;0.0003599938928361348;-0.022081428981706744;0.0061889456720283734;0.18054180203965722
CYP51A1;0.0003801951285213292;0.025972556882871877;0.007308912666682203;0.1856552843379417
UFM1;0.0003996026733977061;0.05394800095583359;0.0152377041105498;0.1857573597912041
TUSC2;0.00040042543606640254;0.11305930241346494;0.03193868831078535;0.1857573597912041
DHRS7C;0.00041350695454625097;0.028960493305000425;0.008200872595184597;0.18714719630634713
EIF1AD;0.00043535622843055987;0.05976693521817589;0.016990107220331736;0.19234452797041593
N4BP1;0.0004700017688585519;0.017851488230656003;0.005104254041877489;0.20282215867300674
PRPF4B;0.00048138852114871437;0.020208836767674546;0.005788866293604847;0.20301466814626237
MITF;0.0004961260885707042;-0.015156145264164247;0.00435156545314708;0.2045803488781775
KCNH1;0.0005114309011123176;0.025919072342959346;0.007459208870872137;0.20628428529984547
NUCKS1;0.0005327994242966112;-0.0453164899022408;0.013082966543469856;0.20628428529984547
BMPR2;0.0005380198036836594;0.020626999105535553;0.005959573150193614;0.20628428529984547
MORC3;0.0005447256940985357;0.017298147346488622;0.005002620007044978;0.20628428529984547
FAM83E;0.0005717906018819964;0.00937135454853392;0.0027204900724583855;0.21220292817044648
PCK1;0.0006294616962146315;-0.010067200120975733;0.0029447744219293654;0.22140220279177802
VSTM4;0.0006307996043453289;0.018618162097712346;0.00544695208204899;0.22140220279177802
MZT1;0.000645652418961487;0.057874881212928116;0.016963408867489312;0.22140220279177802
SLC25A30;0.0006521469309936584;0.014975458196391747;0.0043928941374742694;0.22140220279177802
ZFP36L2;0.0006562363199799413;0.03794900956121365;0.01113751830113206;0.22140220279177802
LAPTM5;0.0007476622773974685;0.016850033937065956;0.004997713084943075;0.24075811669022731
ZNF556;0.0007627079153534442;0.02114728754227161;0.006282511014730554;0.24075811669022731
NDUFAF7;0.0007632580531084654;0.024550829252558616;0.00729407826050417;0.24075811669022731
