genes;p_value;beta_coef;std_err;fdr_bh_adj_pval
ABCA1;1,96E-74;-0.0005275200923397219;2,61E+10;3,63E-71
LIPG;1,02E-41;0.0006679423602887556;4,17E+10;9,43E-39
LCAT;2,81E-35;-0.0013450991645230753;9,02E+10;1,74E-30
LIPC;1,33E-32;0.0006281929912047672;4,29E+11;6,15E-30
PLA2G12A;1,33E-10;-0.0003076175879770702;2,88E+11;4,95E-08
SCARB1;4,23E+00;0.00039689603313202565;4,88E+10;1,31E+04
LPL;9,03E-01;-0.0006727645241929087;8,37E+10;2,39E+03
APOC3;1,61E+04;0.000948428344648952;0.0001407614346604517;3,74E+07
CETP;3,71E+05;0.0005237687354956339;7,92E+10;7,65E+07
APOA5;2,54E+06;-0.0003772017640353257;6,33E+10;4,72E+08
NR1H3;1,27E+08;0.0003099203739073528;5,45E+11;2,14E+11
APOA1;1,73E+06;-0.00046771669722533093;8,30E+10;2,67E+09
ALDOB;8,24E+07;0.00016259619589188104;3,03E+11;0.00011761858900247704
LDLR;1,08E+10;-0.00027415226892674437;5,62E+09;0.0014339641913255344
ANGPTL8;1,20E+10;0.00032711435015152197;6,74E+09;0.0014832714057442125
PLIN1;2,60E+10;0.0001649378960828924;3,51E+11;0.003013453442768134
SOAT2;2,18E+11;-0.00014226812347342558;3,35E+10;0.023761920021342826
STAB1;3,12E+11;8,16E+10;1,96E+11;0.03216956606313687
PPARG;3,75E+09;-0.0005419451701929831;0.0001314662812976376;0.03531127925754532
TPD52L2;3,81E+10;0.00035319235048341925;8,57E+10;0.03531127925754532
KLK9;4,02E+10;0.0002976551181576995;7,25E+10;0.03552265204419214
YTHDC2;4,24E+10;-0.0001554675681705547;3,80E+10;0.03575071006416247
HIST1H2AJ;4,78E+11;-0.0004816740340731363;0.00011844952300958906;0.038526764422004235
MLXIPL;5,54E+10;-0.0001268194566253371;3,15E+11;0.042485151073389134
UPK3BL1;5,72E+10;-0.0006513111472931742;0.00016185491842335268;0.042485151073389134
TACR1;6,42E+10;-0.0002139757045733276;5,35E+10;0.04580855597750819
PKD1;6,77E+10;-6,46E+10;1,62E+11;0.0465323307175163
NEK7;7,09E+10;0.00024331344343368777;6,12E+10;0.04696700556934567
ADH1B;8,94E+10;0.00013825293584975707;3,53E+10;0.05654911057550411
INS;9,23E+09;0.002685852376591825;0.0006869169616475603;0.05654911057550411
FBXL19;9,45E+10;0.00021448920251286417;5,49E+10;0.05654911057550411
JAK2;9,77E+09;-0.00013012410506563533;3,34E+10;0.056675780153572816
CD36;0.0001363380534887631;0.0001794425838829084;4,70E+10;0.07666330062234812
CPNE2;0.00014407765070259553;-0.00023350708404899068;6,14E+10;0.07863249665992243
PTGER1;0.00023336834017542704;0.00016862789002493927;4,58E+10;0.12056041581388709
HNF4A;0.00023389604275166713;-0.00023031412674010972;6,26E+10;0.12056041581388709
APEX1;0.00024251148875327643;-0.00028084663412899195;7,65E+10;0.12162278879204858
PLA2G12B;0.000261474675740743;-0.00040162563770075;0.00011000882258742348;0.12704442701727736
DGAT2;0.0002670151246860216;-0.00011102850414223571;3,05E+11;0.12704442701727736
NDUFA1;0.0002804411773984825;0.0025713922967537757;0.0007078217865259312;0.130096662195156
KDM4B;0.0002898478008694068;-0.00020595240191406702;5,68E+10;0.13118087299835884
GHITM;0.00031224231587861093;0.0002514754377649125;6,98E+09;0.13566258752113622
HDAC4;0.0003143722388127213;-0.00011564110489583557;3,21E+10;0.13566258752113622
FHL2;0.0003765045449327693;-0.0001989329062722759;5,59E+10;0.15878223490391974
SEMA4F;0.0003922024455544578;-0.0001253401625912834;3,54E+10;0.15897471150640333
EDC3;0.0003940955340210473;0.00024209398051293213;6,83E+10;0.15897471150640333
APOE;0.0004356391973241836;-0.00021825061343724002;6,20E+09;0.1719940626712245
CCDC66;0.00045759817951308797;-6,30E+10;1,80E+10;0.1768998295634346
GAS2;0.0004875276839291575;-0.00024131421828529976;6,92E+10;0.18462374904060094
RANBP9;0.0005654222037237542;-0.00019727724452131665;5,72E+09;0.20983948824595966
KDM4C;0.0005796103005592489;-0.00019928181494813138;5,79E+10;0.21088723014073377
ARHGAP27;0.0006439394304035054;0.00018500694262872997;5,42E+11;0.229787309049374
CORO1C;0.0007015666851582825;-0.0003855395686505235;0.00011376050924118887;0.24562776244900167
PRKAG3;0.0007495846573591095;0.00016512889373220164;4,90E+10;0.2575794981843636
TMED4;0.0007732928412111611;0.00030701226714992534;9,13E+10;0.26089494475480557
PEX1;0.0008819483612769267;-0.00014893155002203645;4,48E+11;0.2865110431915366
