genes;p_value;beta_coef;std_err;fdr_bh_adj_pval
GOT1;1,45E-06;-0.031904045158123465;0.0032635155635211575;2,69E-03
THRA;1,35E+02;0.034950617017415836;0.004721666189342311;1,25E+07
GABRA5;6,39E+02;0.037577804125953185;0.005224494490304855;3,95E+06
PHF6;4,02E+06;0.1069160745014595;0.01709646317496607;1,86E+10
OGT;7,52E+07;0.05778933635837881;0.010744572674927922;0.0002792247046005898
ZNHIT1;1,45E+09;0.01957621867351102;0.0037223308307064566;0.00044826321128229636
HIST1H4J;6,78E+08;0.04818530896616043;0.009699803182587537;0.0017984234503343624
LTB;1,95E+10;0.025796359949995556;0.0054211078735650455;0.004291932178539077
TMC4;2,08E+10;0.009823398688977907;0.0020700351674411365;0.004291932178539077
GMFB;4,36E+10;0.031652946550900174;0.006890923724970494;0.008097733127089338
ZMYND11;8,05E+09;0.020379912627912933;0.004565330370140285;0.013576453360661133
PTRH1;1,27E+10;0.01381732112666222;0.0031657593324574576;0.019705653996257712
LYPD6;2,03E+11;0.011544437563301105;0.0027088344938429577;0.028967250079669736
SHBG;2,92E+11;0.009768337214325502;0.002336945807246347;0.03866708514267413
DCAF8L2;3,17E+11;0.03712165770855417;0.008920772028661596;0.039175161381780996
ASB13;5,09E+11;0.011085261735980168;0.002736057271074382;0.05903917102056597
CNOT11;6,04E+11;0.014010520303923583;0.003492783488045656;0.06595194363976997
KRTAP4-7;6,87E+10;0.004844692466405153;0.0012169967516168245;0.07082217157302564
SLC30A10;7,96E+10;0.010363840942143073;0.002626544657842417;0.07770936930110171
FAM155B;8,62E+10;0.021923749043849066;0.005583407439007657;0.07997511769596623
SRFBP1;0.00010798215014789792;0.009660955187888627;0.0024950652250651977;0.09541508467354257
ADPGK;0.00011400807816196033;0.007393559039135889;0.0019160399707858755;0.09616063174424254
PRAMEF6;0.00011989260876250103;-0.008674656699964393;0.0022552368429561353;0.09672727166073779
ANO5;0.00012768638166443604;0.0059867343915787664;0.0015627151875732379;0.0987228540902198
OR6F1;0.00013339545815381216;0.027483545407185273;0.007194256167880627;0.09901144486008553
STARD5;0.00016243682302105554;0.01056645494935808;0.002801776323407593;0.1159299110761041
LINGO1;0.00018660126679967125;0.012190362023544388;0.003262426181118843;0.12824344839758148
C4orf32;0.00021429583939400963;0.01928725955135617;0.0052104736067959435;0.13786326530910986
C1orf68;0.00021545778691335342;0.017222068190455152;0.0046542852280035615;0.13786326530910986
RNF213;0.00022775128786591437;-0.0026737566298305395;0.0007253512500375736;0.13835385182907592
RUNX2;0.00023113652762995007;0.010673975230741145;0.002898649941657479;0.13835385182907592
C1orf87;0.0002481635833380075;0.0091925258639855;0.002508713606954409;0.1439038578881271
NEK7;0.00027379076162594015;0.00865811563205547;0.002379254961456022;0.15395337493124076
SKA2;0.0003093679115408016;0.01693171017093642;0.0046935866518473335;0.16884208725150338
TMEM233;0.0003964248096612206;0.020872541966698837;0.00589197855553456;0.20853353290161314
ACVR2B;0.0004045703375974387;0.010638358029088595;0.003007592938363376;0.20853353290161314
BARD1;0.0004194685243057433;0.004655690383132182;0.0013197882568700425;0.21025284864988264
MIXL1;0.000430567377058393;0.010088035802326605;0.0028653625142713974;0.21025284864988264
TRIM72;0.0004630433763000405;0.007206851605820751;0.0020583054512789715;0.22031366386214235
SLC2A8;0.00047612495999402625;0.005274418571591601;0.0015095989806779308;0.22087436894122875
P2RY14;0.0005103295286600929;0.01578308078918197;0.004541431651224764;0.23096767643455327
TPM3;0.0005556162652907711;0.025030864280480042;0.007250110483486436;0.24547655758894163
SMC1B;0.0005997994796238259;0.008115822027410945;0.002364901127444296;0.2588343986953422
RNF2;0.0006290773194444083;0.03779828650382819;0.011055904892048085;0.2652990622638737
TMEM200B;0.0006517675368580735;-0.00899223597155776;0.002637655405069354;0.26693665161818914
NAA38;0.0006617312984714755;0.01019766704334123;0.002994877445638077;0.26693665161818914
JRKL;0.0006835594276455441;0.015254800497578465;0.0044917749075268;0.26987507956150464
KIAA1456;0.0007229804701961905;0.009103339519544026;0.00269267006080086;0.27531718576943903
SPRR4;0.0007270177895399069;0.05046056246898018;0.01493245315076324;0.27531718576943903
DGKI;0.0007742077032234084;0.006738750878852235;0.0020044314550648635;0.28732396282027134
TMEM236;0.0007968624471639345;-0.0034212897518855487;0.0010200767773558969;0.2899329327367445
LYG1;0.0008792106135224087;0.011146081202056428;0.0033505502544202916;0.3091236554732743
OR6C4;0.0008829248620437346;-0.009981408499128933;0.0030015058997535002;0.3091236554732743
NUP62;0.0009227601029274617;0.012461617535461187;0.003761266370535196;0.3103057567974877
SNRNP70;0.0009484905529180809;0.015715772027227754;0.004754511631533366;0.3103057567974877
DDX6;0.000986749494998859;0.016059927675994512;0.004874998607981629;0.3103057567974877
C11orf71;0.0009879316514442775;0.02645968744891553;0.00803267121830588;0.3103057567974877
OR51S1;0.0010009210861827197;0.006668746453079927;0.002026768344949558;0.3103057567974877
ATAD5;0.0010097702220102265;0.005453229160136873;0.0016585966794518108;0.3103057567974877
ATG4D;0.0010308198751881072;-0.006239590251341166;0.001901129541598982;0.3103057567974877
EOMES;0.0010355280546358848;0.008308770107571996;0.0025325760105843684;0.3103057567974877
RPL23A;0.001039653444744206;0.017906954974003988;0.005460042271871599;0.3103057567974877
SLC5A10;0.0010556073438817927;0.003443123250426346;0.001051227155445125;0.3103057567974877
COLGALT1;0.0010702505084629883;0.004858337284103694;0.0014850746028135734;0.3103057567974877
ADAMTS1;0.0011489449799161385;0.002732312506220672;0.0008403688058404988;0.3279972776511364
TAP2;0.0012300185327930428;0.004855655562370168;0.0015024198210747228;0.3433977698358242
LHX1;0.00124961000913047;0.011245913613758473;0.0034845429078256243;0.3433977698358242
DPH3;0.001264351795240914;0.031021069851387223;0.009621878064035074;0.3433977698358242
MVB12B;0.0013492415563806015;0.016217741104621458;0.005059573650593485;0.3433977698358242
CAAP1;0.0013597468845974853;0.005859528629737368;0.0018293166879733663;0.3433977698358242
SLC33A1;0.0013641676349757778;-0.005015368654528589;0.0015662311470663651;0.3433977698358242
NDUFAF5;0.0013695106149744089;0.007145462585517315;0.002232215483345557;0.3433977698358242
CDK12;0.0013877147235694942;0.007150671062507784;0.002236502457086896;0.3433977698358242
BYSL;0.0014410766758339094;0.004256819381842806;0.00133595217760829;0.3433977698358242
VPS9D1;0.0014858144740893956;0.006723078985151272;0.0021158386564606897;0.3433977698358242
NR1H3;0.001510786423261845;0.0067680966044320725;0.002133253397558455;0.3433977698358242
DDX25;0.0015294875731215096;0.005035697513596195;0.0015890042220067172;0.3433977698358242
RNF139;0.001530635106471235;0.011522703088675102;0.0036362159155895143;0.3433977698358242
MRPL38;0.0015374041030845277;0.004938530506650201;0.0015590817395406884;0.3433977698358242
PNN;0.0015432837465553814;0.007649563117519193;0.00241579458671295;0.3433977698358242
CDC26;0.001552480113878707;0.009204253812496559;0.0029083662424104787;0.3433977698358242
BRINP2;0.001552599499886137;0.005545100746242594;0.0017521570116068046;0.3433977698358242
VWC2L;0.0015571335086039014;0.010175091174521977;0.0032160172355703595;0.3433977698358242
CCL13;0.0015832466417317703;0.05214856989722298;0.01650775012619063;0.3433977698358242
YPEL5;0.0015967569509307373;0.06594132543120307;0.020890261127681744;0.3433977698358242
SPIN2A;0.0016024948230120878;0.02364495874378418;0.007493224370681337;0.3433977698358242
TBC1D19;0.0016137150297840614;-0.008743250658876113;0.002772575774182951;0.3433977698358242
EIF4ENIF1;0.001645468744964332;-0.003931143118925828;0.0012488607396131909;0.3433977698358242
MIB1;0.001647036080803425;0.005745136272866007;0.0018252984999992405;0.3433977698358242
ZNF667;0.0017446566099080126;0.007120727089967776;0.0022745339415915188;0.356054798311275
RHNO1;0.0017461191337748451;0.004127739440236611;0.0013186043419652742;0.356054798311275
KRBA1;0.0017715213990149546;0.0038672568758537167;0.0012370708771292508;0.3573081639143641
PNPLA8;0.0018520578348374327;0.006549019518665916;0.0021037364256017775;0.3675621659512685
E2F6;0.0018619769130965315;0.01578199917982382;0.0050722084989557005;0.3675621659512685
NAIF1;0.0019457393977243508;-0.006504937433322975;0.0020994176037527185;0.3774618593505708
ACAD10;0.0019528097918546452;-0.0038921434486669363;0.0012565947985686287;0.3774618593505708
C9orf3;0.0020122714174702653;0.006025865219967952;0.0019510834447410779;0.38218598328689474
DKK3;0.0020282924219635163;-0.011530053737242484;0.0037361074801591605;0.38218598328689474
ERCC1;0.0020390392512072957;0.010004864901653344;0.0032435492094773583;0.38218598328689474
MS4A2;0.00206933001949271;0.00457084384935474;0.001483966501535671;0.38398487841706724
CP;0.0021019455823427903;0.0037460371067820444;0.0012180285032778733;0.38617526956388926
GOLGA6C;0.0021707012346302342;0.01099215852056261;0.0035853189141744892;0.3948973736254767
M1AP;0.0022154167623791507;0.009729884738315717;0.0031799317623845227;0.39639055325226824
ZNF69;0.0022216327623537343;0.01675353733087488;0.0054769121473844315;0.39639055325226824
SOS1;0.0022549534126473495;-0.007751126295583766;0.0025376292304269653;0.3985039573817545
APTX;0.0023223203715364506;0.004960498002595337;0.0016287243104971605;0.4048751631012434
ELF3;0.0023353701379417897;0.009461258610593803;0.003108219108652444;0.4048751631012434
KCNK4;0.002356462471164814;0.008180435262154426;0.0026898334729705117;0.4048751631012434
LPIN2;0.0024028763709843066;0.0040692265273932675;0.0013406054983561638;0.4090621462383926
ESM1;0.002600563054063477;0.02696401321476791;0.008953859411611764;0.4357176321898845
CCL21;0.0026216908976464007;0.01976351739951;0.006568172556922983;0.4357176321898845
PGM5;0.0026298973272939783;0.0049893303324433265;0.0016586687725576458;0.4357176321898845
CBLL1;0.002777703333804681;0.014804555168205365;0.00494907928975776;0.45226339798741183
ALDOA;0.002779586379196597;0.009271953445543232;0.003099776179146286;0.45226339798741183
ADAMTSL4;0.0028224573543666077;0.003383470866092341;0.0011329249494474486;0.45226339798741183
CBLB;0.002866188746167204;0.006983568459754037;0.0023420748518602607;0.45226339798741183
SDC4;0.0029131041861628552;0.009172216421545186;0.003081220999129083;0.45226339798741183
ALDH1A3;0.0029176800434410326;0.011527289227414778;0.00387298636378436;0.45226339798741183
ZNF330;0.0029274195576885344;-0.008963370630778456;0.003012584944926741;0.45226339798741183
NETO2;0.0029615750461980577;0.008345685592845372;0.0028083415921500827;0.45226339798741183
ELP3;0.0029684067543687136;0.005746874658275885;0.0019342965495628432;0.45226339798741183
CYTIP;0.0029734929162785213;0.007756883154675304;0.002611292081049618;0.45226339798741183
LZTFL1;0.002999106107467106;0.016232657514316923;0.005469445844607655;0.452450511627314
ZNF563;0.003068903087928344;0.010298581793785521;0.0034783099260814686;0.45526685723168464
TUBB2A;0.0030903879614746855;0.03560342696401219;0.012033669335225362;0.45526685723168464
MARK2;0.00310902963995061;0.00858052275457226;0.002901965624461113;0.45526685723168464
C1QTNF5;0.0031965148715388057;0.017666590501711443;0.005992272745197212;0.45526685723168464
RSPO3;0.0032013751344672613;0.01694270675080249;0.005747656712316677;0.45526685723168464
C15orf41;0.003206079122188419;0.008568975096326719;0.002907393396454998;0.45526685723168464
TMEM145;0.0032239879189331026;0.005626246318440636;0.0019100626212210684;0.45526685723168464
GSTM1;0.0032328896758852623;0.0180742426891904;0.006137828883329061;0.45526685723168464
DPYSL3;0.003238587257737787;0.007390857037682639;0.0025103243739337242;0.45526685723168464
CHURC1;0.00327647442628536;0.015529627324087565;0.005281139726158831;0.45536967050537147
CRBN;0.0033129930828764654;-0.0071750797446052846;0.00244287402557735;0.45536967050537147
WDR59;0.0033453032997144;0.004858497092884114;0.001655852883803776;0.45536967050537147
HMGA2;0.003351395064830037;0.0318669086767296;0.010862838836977223;0.45536967050537147
BRAP;0.003366696737425325;0.008772714994517677;0.002991898609192985;0.45536967050537147
CENPH;0.0033935101509990832;-0.01583711178627704;0.005405725874011467;0.45536967050537147
ALB;0.003416055047420334;0.008491734743396413;0.0029005457118167453;0.45536967050537147
MITF;0.0034502829803084154;-0.004984676701810342;0.0017044358283022135;0.45536967050537147
CHAD;0.0034601812643488563;0.004553168716083652;0.0015573629878040743;0.45536967050537147
HIST1H4C;0.0034981273661304317;0.014237418182542363;0.004875422894948841;0.4571214887740584
HIST1H2AI;0.003548508508541339;0.02084858042469241;0.007150249603616129;0.46046240478666495
BCAP31;0.003590810366499711;-0.008129958634047287;0.0027918010562256366;0.46271581361644887
PQLC2;0.003699871084904587;0.013590061228707147;0.004681828767686459;0.47008906485543556
LYN;0.003710943857487505;0.014826834865778708;0.005109549881420173;0.47008906485543556
ZDHHC22;0.003733051198744762;0.014369237169009001;0.004955033375480347;0.47008906485543556
SCGB1D2;0.0037509000292366775;0.019057551746432106;0.006575124989235976;0.47008906485543556
SPACA7;0.003785041315047234;0.01409864728862896;0.00486900832208921;0.47008906485543556
OR4N4;0.0038068989722568813;0.024557742092290488;0.008486384967010136;0.47008906485543556
FTL;0.003877861112335032;0.011466703488343449;0.003970497411637742;0.47008906485543556
MT1G;0.003925811828184115;-0.030202285148560888;0.010471965395174913;0.47008906485543556
NEIL2;0.003936820842834554;0.008271820419268843;0.002868945676364335;0.47008906485543556
ZCCHC6;0.003984525244762896;0.003927331798974022;0.0013639266281738939;0.47008906485543556
AFG3L2;0.003992732312480563;-0.0050470127953081605;0.0017531767673424061;0.47008906485543556
LALBA;0.0040116862568393965;0.025253820511692403;0.008776954449426992;0.47008906485543556
HEXA;0.004012813372365681;0.003886646436485473;0.0013508439132391536;0.47008906485543556
OR52H1;0.004024545887442876;0.005912712345481024;0.0020556822477487686;0.47008906485543556
SLC22A5;0.0040280319741331245;-0.003095015939966479;0.0010761514441003444;0.47008906485543556
ASIC2;0.004108137243110427;-0.0057113248543506166;0.0019901595392458056;0.4764412167697317
CCDC168;0.004135895973308122;-0.0050434551909223566;0.0017587402524034273;0.47668127751991
FAM184A;0.004226445577116462;0.004788537259778627;0.001673850178021541;0.48202039251546663
LY6G6C;0.00423417352770107;-0.004763036850070061;0.0016652736197620844;0.48202039251546663
SCRIB;0.004292927670260554;0.0034488708940456805;0.0012076556337112109;0.48572906005704164
CEP126;0.0043523770584834535;0.0065512539888644625;0.0022975007634686087;0.48860906019753386
OR2T11;0.004371044621297188;0.01074756595011114;0.0037709318796691786;0.48860906019753386
ZNF684;0.004517527763382415;0.0050332335352722725;0.0017725099423952602;0.49613719538616546
EPB41L1;0.004530404237592537;0.004317760691127118;0.001521034610924375;0.49613719538616546
DKK2;0.004537704950232147;0.00969589776737845;0.00341623067050651;0.49613719538616546
INPP5A;0.0045453396861202915;0.008509050583934611;0.002998626583952574;0.49613719538616546
VHL;0.004597810865191942;-0.0057287417653094546;0.0020214452529880326;0.49773029510323336
TOGARAM1;0.00461358109278703;0.00395411567574732;0.0013957892867417917;0.49773029510323336
NPIPB4;0.004648547716232438;0.00890371598489875;0.0031456624911887876;0.49860376544745155
CLDN7;0.004759937311094961;0.009432898597899123;0.0033415749227304428;0.5050420572811134
APOF;0.00477206671332408;-0.01789410207278132;0.006340763013460314;0.5050420572811134
DBX1;0.0048206907270366365;0.00351137965111201;0.001245690854777896;0.5050420572811134
SYNPO;0.004851894043391931;0.00530452880488194;0.0018832094494796697;0.5050420572811134
SIGLEC15;0.004879442191450099;0.006634369226304556;0.0023568504305799464;0.5050420572811134
SPATS2;0.004887307801640232;0.004496043804277523;0.0015975071036560642;0.5050420572811134
HMGCS2;0.004971832977067592;0.006446925861230273;0.002295181276728398;0.5050420572811134
SUPT5H;0.004977788731310312;0.006977455420970533;0.0024843969704669163;0.5050420572811134
IGFBP1;0.005008525413188482;-0.005931037924501166;0.0021133008906117252;0.5050420572811134
AKAP11;0.005016476031624619;-0.0027796987020076345;0.0009906208278333058;0.5050420572811134
TMBIM4;0.005049398831044649;-0.009544399931625556;0.0034039630517485623;0.5050420572811134
OR2M2;0.00505669766674814;0.0149834226523709;0.005344651471378684;0.5050420572811134
TAC3;0.005062396133557183;0.02295642511577504;0.008189716948332747;0.5050420572811134
CUL2;0.005141182844509142;0.006005078248418587;0.0021461312041608205;0.5101592987310782
ZNF730;0.005324936893222762;0.009615334126141337;0.00345039752022536;0.5243669413145267
YWHAE;0.00542720570073519;0.02558177864193309;0.00920022193610268;0.5243669413145267
RAB3IL1;0.005431568876620506;0.0074608914238353625;0.0026834842216634214;0.5243669413145267
FFAR4;0.005456983509823874;-0.008007401801924888;0.002881620932914795;0.5243669413145267
HEPN1;0.005459538219684699;0.048226078802897636;0.01735605213870384;0.5243669413145267
RNASE2;0.005478223643566546;0.007150877395108892;0.002574553296663997;0.5243669413145267
MTA3;0.005490402150913986;0.00728622726992692;0.002623965608323277;0.5243669413145267
FIBP;0.0055104307801429565;-0.006277831437957058;0.0022617795536005784;0.5243669413145267
PLK2;0.0055789687792061156;0.012798507997225091;0.004617742831856679;0.5281803299334116
MEI1;0.005707845275711648;0.004637960122645149;0.0016778972344600248;0.5361207031129366
ECM1;0.005720624014677811;-0.003304207883603123;0.0011956949318342987;0.5361207031129366
KIF21A;0.005831622677715526;0.003339975173653587;0.0012113901084192381;0.5437768362195442
RET;0.00589358614721995;-0.005826908026414733;0.0021160404373112124;0.546806922739067
POU6F2;0.006025308053005031;0.006657859249849596;0.0024241767001113783;0.55610941635209
OTUD7A;0.006057234350825618;-0.007168055623859578;0.0026115919919242007;0.55610941635209
JAGN1;0.006083757896069965;0.010905163220194518;0.003975238172058765;0.55610941635209
FCGRT;0.00611658325436273;-0.0047908590383007425;0.0017475285118396808;0.5563692101370334
PDE10A;0.00615603749062991;-0.005301664131350009;0.0019353430491308127;0.5572264959811151
LACC1;0.006305348239597055;0.013010055612021855;0.0047629630437727175;0.5679710773493348
TRPC4AP;0.006339539053876432;0.005153964917891669;0.0018880914527209852;0.5682922062015994
SCAMP1;0.006444160888592967;0.013469138451402851;0.004944035395382879;0.5722977191940217
GNL2;0.006466832572067927;-0.004833659775232295;0.0017750181611677508;0.5722977191940217
PEX2;0.006476747199328764;0.012746002292259521;0.004681461379194577;0.5722977191940217
SOCS6;0.006550742249961435;0.009975743394313471;0.003669038031671649;0.5725783467853495
GBP3;0.006554162033060187;0.006532379010396274;0.00240273512691205;0.5725783467853495
PSMD9;0.006572493418046963;0.007113921633472757;0.002617527433152706;0.5725783467853495
BUD31;0.006654607446435069;0.014164870376873653;0.0052197802581808745;0.5770228774581736
IGFALS;0.006771143703524424;0.0047070621327464195;0.0017382485080476644;0.582215224867672
GNB1;0.006807784905698365;0.017054129063147027;0.006302007658381858;0.582215224867672
C8orf4;0.006808617363455746;0.016619753747045465;0.00614158522024983;0.582215224867672
SPAG4;0.006916396253501897;0.006850246197013719;0.0025362999587936973;0.5865868725791901
PGBD1;0.0069630893368761194;0.004016656087288209;0.0014883984851649932;0.5865868725791901
PRPH2;0.006969206956709476;0.0067816782456733655;0.002513267975970437;0.5865868725791901
ZNF461;0.00699732444257057;-0.005866892203724514;0.002175331970678998;0.5865868725791901
ZNF500;0.007058761974108362;0.006066334155965204;0.002251712835390284;0.5865868725791901
TAS2R38;0.007084057096313555;0.014098898660485736;0.005235572049880896;0.5865868725791901
PCED1B;0.007108426383840631;0.01216457213284009;0.004519189237041485;0.5865868725791901
HSPB3;0.007112634529549352;0.008903710804589363;0.0033080082672011304;0.5865868725791901
CASC1;0.007198474536729872;0.006792193946149474;0.0025272731260978136;0.5897115454668481
HCN2;0.0072242272120479;-0.006289689451928118;0.002341338000395123;0.5897115454668481
ISPD;0.007245862921235254;-0.00818464067743209;0.003047867650806152;0.5897115454668481
LIPI;0.007358601585559057;0.006929961600038527;0.002585611482768434;0.595829539728332
ATP2A2;0.007409420438265822;0.009835847332783181;0.0036729736041392273;0.595829539728332
FBXO40;0.007450137047324428;-0.003992892478771072;0.0014920780521229867;0.595829539728332
ENO1;0.007466762837811639;0.005922755185601793;0.002213854057120134;0.595829539728332
LZTS1;0.007481584541749372;-0.003048743579797934;0.0011398666533047376;0.595829539728332
FCN3;0.007550133211367276;0.009025447129340095;0.0033783058801633457;0.5987191105561162
C12orf65;0.007718960314705924;0.017192304906281514;0.006453182666881257;0.6092684996502261
TMEM39B;0.0077488341192850484;0.00931473717934891;0.0034980206781188333;0.6092684996502261
