genes;p_value;beta_coef;std_err;fdr_bh_adj_pval
FCGRT;2,54E-07;-0.00017249891893193135;1,73E+10;4,71E-04
GCM2;5,99E+09;9,36E+10;2,07E+11;0.04093514380041382
IQGAP2;6,62E+09;-4,80E+11;1,07E+11;0.04093514380041382
RFPL2;1,64E+11;0.00013818309628077204;3,21E+09;0.055249575382456756
ALPL;1,73E+11;7,12E+10;1,66E+11;0.055249575382456756
ZCCHC7;1,79E+10;0.0001408330798006967;3,28E+10;0.055249575382456756
DTX3L;2,11E+11;0.00010780975690191584;2,54E+10;0.05605148498658476
RAB38;4,79E+11;-8,80E+09;2,17E+11;0.11118148220360277
C4orf47;6,57E+10;0.0001318916212158212;3,30E+10;0.13538584185748623
LYPD2;0.00011359147952626707;-0.00021616943620063296;5,60E+10;0.20112965774926186
NEDD9;0.00011922969579876483;-6,22E+10;1,62E+11;0.20112965774926186
SERPINA1;0.0001886348507643353;5,35E+10;1,43E+11;0.2916923575652505
IMMT;0.00021620129432445024;-5,43E+10;1,47E+11;0.2995192429814643
A1CF;0.00022597916586228177;6,57E+10;1,78E+10;0.2995192429814643
RNASE3;0.0002933866817741294;7,91E+10;2,18E+10;0.3629388844667164
ZNF175;0.00031547321118027594;-0.00012340720459025632;3,43E+11;0.36587005666632505
EIF2AK3;0.0004642285088382543;-5,70E+10;1,63E+10;0.5030644152858491
IFT172;0.0005037155429618106;3,10E+11;8,91E+09;0.5030644152858491
USP16;0.0005151015245974959;7,28E+09;2,10E+11;0.5030644152858491
HSBP1L1;0.0005591235097820542;-0.00021937636471850068;6,36E+10;0.5133716731208235
RHOF;0.000629360874880355;-9,47E+10;2,77E+11;0.5133716731208235
PBXIP1;0.0006323952625380046;6,20E+10;1,82E+10;0.5133716731208235
ZNF436;0.0006363197069292381;-0.00015882941632994297;4,65E+10;0.5133716731208235
UBE2Q1;0.0007594521464097813;-0.00014087757005336638;4,18E+10;0.5144564596011253
GINS3;0.0007698990782821966;-0.00011939524494009312;3,55E+10;0.5144564596011253
GFOD2;0.0007804919713862346;-8,83E+09;2,63E+11;0.5144564596011253
DIS3L;0.000796924089766424;-6,48E+10;1,93E+11;0.5144564596011253
KEAP1;0.0008022682720571024;-0.00010380155077336208;3,10E+11;0.5144564596011253
HPN;0.0008302405394336165;-0.00012486387615509586;3,74E+08;0.5144564596011253
NEGR1;0.0008975477504767958;-0.00012843093310513834;3,87E+11;0.5144564596011253
ALB;0.0009304841865536997;-9,62E+09;2,91E+11;0.5144564596011253
YBX1;0.0009853755721206353;0.00013279011179093088;4,03E+11;0.5144564596011253
MSH6;0.0010112702051222448;-4,37E+11;1,33E+11;0.5144564596011253
LRRC10B;0.0010313459781284829;-7,41E+10;2,26E+11;0.5144564596011253
PITX2;0.001075288345989866;-0.00012094760587205562;3,70E+10;0.5144564596011253
SPP1;0.001109151002701563;-6,79E+10;2,08E+11;0.5144564596011253
CBFB;0.001152851112232274;-0.00019691247080685372;6,06E+10;0.5144564596011253
UNC45A;0.0011815228850818311;-3,66E+10;1,13E+11;0.5144564596011253
LMF2;0.0011829818237542105;4,63E+10;1,43E+11;0.5144564596011253
CHP2;0.0012028999721157801;3,32E+10;1,02E+11;0.5144564596011253
UPP1;0.0012391792851865848;-7,93E+10;2,46E+11;0.5144564596011253
DDX60;0.0012462116598457038;6,99E+10;2,16E+11;0.5144564596011253
PLEKHA6;0.0013140457032747978;-3,32E+10;1,03E+10;0.5144564596011253
RPL18A;0.0013432361411685103;0.0001766761904259489;5,51E+09;0.5144564596011253
NKD2;0.001359197694867725;-8,32E+10;2,60E+11;0.5144564596011253
GAL3ST3;0.00140555926221771;6,84E+10;2,14E+11;0.5144564596011253
EMID1;0.0014325922806317606;0.00012251888218257545;3,84E+10;0.5144564596011253
VEGFC;0.0014690086160267708;-3,34E+11;1,05E+11;0.5144564596011253
ERI3;0.0014879524942888395;-0.00011806372771399639;3,72E+10;0.5144564596011253
DMPK;0.0015489196693802413;-5,19E+10;1,64E+10;0.5144564596011253
RNF208;0.0015539935797970574;0.00014149901777810183;4,47E+10;0.5144564596011253
MFAP3;0.0015784095116189404;-9,71E+10;3,07E+10;0.5144564596011253
NKX2-4;0.0015877533163179453;6,98E+10;2,21E+11;0.5144564596011253
C17orf105;0.0015946983942106679;0.00013868871773173094;4,39E+11;0.5144564596011253
NIPSNAP3A;0.001601259455880173;8,60E+10;2,72E+11;0.5144564596011253
HSF4;0.001606595772741537;-7,14E+10;2,26E+11;0.5144564596011253
RNF8;0.0016272609093062804;0.00018363402333694667;5,83E+10;0.5144564596011253
ZNF772;0.0016634834071408262;2,48E+11;7,89E+09;0.5144564596011253
FUT6;0.00174019633134847;-7,67E+10;2,45E+10;0.5144564596011253
BCAS2;0.0017735579273681164;6,77E+10;2,16E+09;0.5144564596011253
CUTA;0.0017949787204320235;9,63E+10;3,08E+11;0.5144564596011253
PI4KB;0.001824257694777218;9,55E+10;3,06E+10;0.5144564596011253
TTLL10;0.001833238637218058;5,74E+11;1,84E+11;0.5144564596011253
STAB1;0.0018402463672133546;2,37E+11;7,62E+08;0.5144564596011253
FBXO30;0.0018704408520582082;-8,79E+10;2,83E+09;0.5144564596011253
OR4K5;0.0018746720826608439;0.00013971552895485903;4,49E+10;0.5144564596011253
MYO5C;0.0019189567735573307;3,52E+11;1,14E+11;0.5144564596011253
CENPT;0.0019265716468615697;4,18E+10;1,35E+11;0.5144564596011253
TNXB;0.0019574429459140773;2,18E+11;7,04E+09;0.5144564596011253
TRIT1;0.001980958974385073;4,38E+11;1,42E+11;0.5144564596011253
SLC13A5;0.002028058276467876;8,77E+10;2,84E+09;0.5144564596011253
G6PC;0.002056719573341009;7,48E+10;2,43E+11;0.5144564596011253
AEBP2;0.002059093400895955;0.0001541534787320227;5,00E+11;0.5144564596011253
TAF15;0.002073764610369989;6,76E+10;2,20E+10;0.5144564596011253
GH1;0.0020793400770685705;0.00011784082714119765;3,83E+11;0.5144564596011253
ACTL7A;0.0022046687695876474;-3,90E+11;1,27E+11;0.5295224596081585
SIM1;0.0022318063059079823;5,96E+10;1,95E+11;0.5295224596081585
MCTP1;0.002253204396680636;7,20E+10;2,36E+11;0.5295224596081585
RBP1;0.002254379947674311;8,00E+10;2,62E+11;0.5295224596081585
TMED7;0.002327184540836994;-0.0006601379397693795;0.00021679341648308314;0.5308375362154778
RER1;0.002352499378692099;0.00026673377587897653;8,77E+10;0.5308375362154778
IQCF2;0.002378580274261221;-0.00014064906691990044;4,63E+10;0.5308375362154778
RPL13A;0.0023936551893511105;0.00010871096894856341;3,58E+10;0.5308375362154778
EFTUD2;0.002436109221589197;0.0001005505908622672;3,32E+10;0.5308375362154778
UGT2B10;0.0024436349604134706;-6,10E+10;2,01E+09;0.5308375362154778
ZNF577;0.002474130496259647;-0.00011731673773786331;3,88E+10;0.5308375362154778
SLC12A4;0.002488837338367459;-3,21E+10;1,06E+11;0.5308375362154778
COQ8B;0.002553893800498603;3,80E+11;1,26E+11;0.535058051992416
SLC35C2;0.002566294817165608;-8,28E+10;2,75E+11;0.535058051992416
PRKD1;0.002607521129942128;4,08E+11;1,36E+11;0.537612912080068
MRGPRX4;0.0026553239863193042;-4,56E+10;1,52E+11;0.5414526581334177
HRASLS2;0.002746929668646523;-8,45E+10;2,82E+10;0.5427342705888788
STX11;0.0027692577496692557;4,74E+11;1,58E+11;0.5427342705888788
TMEM155;0.0027735401908616066;0.00010668857280996925;3,57E+11;0.5427342705888788
HIST1H1E;0.002804244039508057;7,06E+10;2,36E+11;0.5427342705888788
TUBA3D;0.0028078513675647964;-6,70E+09;2,24E+11;0.5427342705888788
TOX3;0.002901653382530266;4,62E+10;1,55E+10;0.5455699158956953
SORL1;0.0029379566486442067;-3,01E+11;1,01E+11;0.5455699158956953
TCTN3;0.0029692388670692575;7,75E+10;2,61E+11;0.5455699158956953
CRYGB;0.0029829404442050585;-0.00010650029013112798;3,59E+10;0.5455699158956953
BARHL2;0.003017704958021732;0.00010517804770192473;3,55E+10;0.5455699158956953
LSP1;0.003017932636103379;6,36E+10;2,14E+11;0.5455699158956953
ZNF32;0.0030283305312166745;0.00016311380848481522;5,50E+10;0.5455699158956953
MVP;0.003125805802447245;-3,80E+10;1,29E+11;0.5567519451726122
CNNM4;0.0031504071051478913;8,63E+10;2,92E+10;0.5567519451726122
MGLL;0.0032000636653280678;-9,59E+10;3,25E+10;0.5589752194837482
LRSAM1;0.0032428862062301436;4,68E+10;1,59E+10;0.5589752194837482
PIGU;0.003273369060802238;5,55E+10;1,89E+10;0.5589752194837482
EEF1A1;0.0032880805841813557;0.0002638104450566667;8,97E+10;0.5589752194837482
SCLT1;0.0033360323868441197;6,58E+10;2,24E+11;0.5589752194837482
PHF20;0.0033437297565583122;6,34E+10;2,16E+11;0.5589752194837482
C1S;0.003431891526242156;5,03E+10;1,72E+11;0.5685908853656201
CA6;0.003489829357976268;-0.00014268239956231142;4,88E+11;0.5730732174036074
LY75;0.0035627825443294383;0.0004950000333455929;0.00016983844305996546;0.5783109124601258
OSTM1;0.003600242621141299;-8,20E+10;2,82E+11;0.5783109124601258
ZNF248;0.003615222345622688;0.00011219835571953957;3,86E+10;0.5783109124601258
RPAP1;0.0037281763092438663;2,86E+11;9,86E+09;0.5835692764849678
ZFP82;0.0037518085062817294;0.00012773906473628453;4,41E+10;0.5835692764849678
YWHAQ;0.0037678640184244734;0.00022888099780921854;7,90E+10;0.5835692764849678
CCHCR1;0.00377389055713495;4,27E+10;1,47E+10;0.5835692764849678
LILRB2;0.0038782904558203944;-5,01E+10;1,74E+11;0.593671676235339
LBX2;0.0039032089082082;-8,21E+10;2,84E+11;0.593671676235339
MT1HL1;0.003985813370698079;0.00011019484097231815;3,83E+10;0.6010812786822836
