genes;p_value;beta_coef;std_err;fdr_bh_adj_pval
CRP;5,70E-11;-0.011565962287441268;0.0010972144612963295;1,06E-06
SLN;1,37E+08;0.0703790816015586;0.01239496843033436;0.00012665296181478078
ALPL;4,77E+09;0.0035681568124903943;0.0007085708257920073;0.0029482447942825803
FKBPL;1,21E+10;0.007540389961969952;0.0015531523196463397;0.005593525015133995
KRTAP22-2;1,74E+10;0.10349028542513651;0.021643375810691028;0.00645982014769157
ESRP1;9,71E+09;0.005053372406815255;0.0011423326985815286;0.0300240149705481
TOP2A;1,39E+11;0.002902426444086085;0.0006679468277002653;0.03689530395585989
CHST1;1,64E+11;0.010889595270657053;0.0025272220491496483;0.03807741033803267
TNNI3K;2,35E+11;0.06856907637295753;0.016214275530512252;0.048440728930204124
AP2M1;3,41E+11;0.018489508357710807;0.004461269251485485;0.06324309373977618
PSMD7;5,65E+10;0.007277139617184005;0.001807038722594254;0.08693881449282005
C19orf70;6,39E+10;0.011099814344303403;0.0027762582110146625;0.08693881449282005
APLNR;6,61E+10;0.0035183094525522286;0.000881811021665979;0.08693881449282005
C21orf2;6,73E+10;0.003787131863282193;0.0009501979654355287;0.08693881449282005
INAFM1;7,46E+10;0.006400335715195443;0.0016157817797620593;0.08693881449282005
HAVCR1;8,33E+10;0.009271508074835783;0.0023562498870760844;0.08693881449282005
MLYCD;8,55E+10;0.003261791580553655;0.0008302980540143521;0.08693881449282005
G6PC;8,79E+10;0.004051696985480109;0.0010331220782537913;0.08693881449282005
IDH1;8,90E+10;0.004269158960289905;0.0010893951359763092;0.08693881449282005
VMAC;0.0001001646881233042;0.0037683369829565024;0.0009686492720961875;0.09293279764080163
HS3ST4;0.0001472608397917653;0.005103849195235555;0.0013446240105088616;0.12866387613574204
MTX2;0.0001528937427238338;0.006176144806769861;0.001631129678648271;0.12866387613574204
ZCCHC14;0.00015947775119217866;0.005443859965521194;0.0014417284178364438;0.12866387613574204
TMTC3;0.00016679094148452445;0.003942828556102429;0.0010473055108796956;0.12895719625778482
CD9;0.0002009169639519141;0.00576491829377412;0.0015505613215764003;0.14912860732366873
DDX39A;0.00021075197793719188;0.007373934144890899;0.0019898031815909632;0.1504120654847128
RHBDL3;0.0002510084456781147;0.004751966986957943;0.0012978836560998042;0.167856131715273
SPANXN1;0.00025455795543413636;-0.05067856401183393;0.013855230235985325;0.167856131715273
SLC25A20;0.00026593549146463133;0.0045393506189068105;0.001244853417577906;0.167856131715273
UBE3A;0.000271377664984813;0.010806619540334468;0.0029678059527621483;0.167856131715273
CCER1;0.0002856850825038891;0.01313761085150364;0.003621137302343726;0.1710055609981344
MRPL22;0.00029867315049808926;0.0043850535401813925;0.0012125010605895739;0.17319309314507952
PACS2;0.00031798414541632335;0.0029346938279855295;0.0008151299909056839;0.17880344855591807
PAFAH1B2;0.00036372091210109874;0.009840843657945587;0.0027602642367133504;0.1985060366161173
TSPAN10;0.00038598093303037715;0.0029606822561323884;0.0008340957394298205;0.20117463705269933
SERPINE1;0.00039029354030487045;0.005535510856905515;0.0015607740800079584;0.20117463705269933
ST3GAL3;0.0004188183401444173;0.00520123201183695;0.001474266005780163;0.21004305728972453
PHF6;0.0004678338636109265;0.02533729562564033;0.007242107893542036;0.2284506624516935
S100A7L2;0.0004988761155627858;0.017760640997979433;0.005101524681103433;0.2373626974457193
UNC93B1;0.0005169022064613941;-0.0012514365743971506;0.00036044519182081204;0.2397909335774407
RANBP3L;0.0005488943353120849;0.0028620318123390304;0.0008281909857988574;0.24761614501750367
TMEM178B;0.0005604590477869775;0.005805201201965103;0.0016825996586767795;0.24761614501750367
MFSD3;0.0006072924758498811;0.0031074805367780367;0.000906390712331867;0.2620678879504743
ELK4;0.0006673923101749674;0.006148148488383989;0.001806839167822003;0.2734746568126542
MTAP;0.0006681745449962466;0.005579260309051853;0.0016398066057764587;0.2734746568126542
NEDD4;0.0006779388991906711;-0.0017805490898323772;0.0005239340113008978;0.2734746568126542
ARPC5L;0.0007529909430422244;0.010386779530099829;0.00308250343200112;0.297287232746628
SHOC2;0.0008695616443095187;0.009244615551175912;0.002776397369477724;0.33223124354857897
TNNC2;0.0008933771786751343;0.011829825298081367;0.0035608575670763414;0.33223124354857897
RCBTB1;0.0009143983525888052;0.0034229220302797363;0.001032341025034558;0.33223124354857897
AGTPBP1;0.0009239962189074055;0.0033327524553689123;0.0010060320714113799;0.33223124354857897
OSBP;0.0009310209454907364;0.0038935251515547034;0.0011760604803822427;0.33223124354857897
ADM5;0.000980197302899214;0.01706397316409669;0.005176835192256536;0.3431800217471286
HORMAD1;0.0010037133159595641;0.011968827449852;0.003638438245218583;0.3449056350175124
TMEM50A;0.0010492187298818559;0.004605219976172358;0.0014052937598266824;0.3539873227579585
EIPR1;0.0011044626947714533;0.0039487997172766645;0.0012103473029690447;0.36597160293176945
GLRB;0.0011430848872349805;0.004537072232274837;0.0013948295858313064;0.37212426609705784
XRRA1;0.001250491466547267;0.0027784069670444113;0.0008609423950582235;0.39585790384406766
SLF2;0.0012586557623841341;-0.0023579205473232027;0.0007310685978732292;0.39585790384406766
AKNAD1;0.0013987111244551905;0.005436561385766251;0.0017015955638475032;0.41399247306343756
PGGT1B;0.0014184041245240027;0.006502434749241703;0.0020377796870654353;0.41399247306343756
ZBTB2;0.001430541800942289;-0.006081895161423686;0.001907460214381221;0.41399247306343756
DPYSL3;0.0014399937045688127;0.0033844102217547387;0.001062084460019822;0.41399247306343756
EFCAB6;0.0014704692237272382;0.0011969875888050289;0.00037635082136694485;0.41399247306343756
PRMT6;0.0015289033440032678;0.00431148046644476;0.0013604313496007705;0.41399247306343756
GBP3;0.0015481630133186797;0.0032191834504972216;0.0010169393898035778;0.41399247306343756
CEMP1;0.0015626381593759175;0.03515994285993053;0.011116530527905543;0.41399247306343756
TAS2R19;0.0016179231539756632;0.00796390075223148;0.0025260448694273572;0.41399247306343756
INS-IGF2;0.0016267864890239208;0.009362459833558517;0.0029711529783321513;0.41399247306343756
AGA;0.00165067752837663;0.003488391132527106;0.001108531034373768;0.41399247306343756
TSPAN8;0.0016630586116990714;0.005139817712337339;0.0016344519861232819;0.41399247306343756
PKNOX2;0.0016680413336883806;0.0029977475814212604;0.0009535433312192475;0.41399247306343756
CHADL;0.001678483319454149;0.0030921121444656982;0.0009841313126119744;0.41399247306343756
MBP;0.0016828152771751715;0.004235117883731554;0.0013482414163298467;0.41399247306343756
SLC25A44;0.0017102189178233277;0.0028009078125338584;0.0008930092753863462;0.41399247306343756
SERINC5;0.0017302911961595481;0.0028756846147530977;0.0009178520669191405;0.41399247306343756
IGFALS;0.0017603797280648047;0.0022994333393271107;0.0007351141321949118;0.41399247306343756
ORM1;0.0017816652672808066;-0.00825590997022126;0.002642347379614244;0.41399247306343756
BCL7A;0.0017834557933261845;0.007288596000644565;0.0023329741405998714;0.41399247306343756
DLL3;0.0017848349776393084;-0.0027659001358983685;0.0008853890851354456;0.41399247306343756
HIVEP3;0.0018301729028227022;0.0014952926682893731;0.00047979124219704055;0.4192677578367662
PRMT1;0.0019467425974905091;0.010253100660461178;0.0033092711410035226;0.4396467848285011
KCTD9;0.0019665166598817414;0.010435393010046248;0.0033713677875073706;0.4396467848285011
FGFR4;0.002013095873946575;-0.001925964163272641;0.0006236224748913458;0.44077337432026925
FAM107B;0.0020190632042047254;0.004025794514899026;0.001303913801163341;0.44077337432026925
ESRRB;0.002050693829058568;0.004312705566718937;0.001398936239439661;0.4424729615350092
CNP;0.0020912022106064987;-0.0035038762988855703;0.0011387239384861914;0.4460269910346459
BRS3;0.00216303720339757;0.014821135812794095;0.0048325519887370055;0.4561058902982422
TOMM40;0.0022262106015881818;-0.002706322941113448;0.0008849046172686226;0.4641524036300034
WNT3A;0.002294852362547389;0.004912880041469842;0.0016111975847210806;0.4710300847681013
ARHGAP44;0.0023415882413554833;0.0038612057525902106;0.0012688194714902585;0.4710300847681013
CNTN5;0.0023588966741108957;-0.0017079963835024594;0.0005616688431876065;0.4710300847681013
MEGF10;0.002360734958150109;0.0014771501095643181;0.00048579329959299694;0.4710300847681013
KAZALD1;0.002430978389080115;0.003934597100286386;0.0012977518891511657;0.4798854785933044
IL36A;0.0026002019019100973;0.01539472464227368;0.005112008795471169;0.5078878578088818
TRAPPC6A;0.002665744860886441;-0.002947255565799909;0.0009811378618491146;0.5148520323936384
STAT6;0.002733612319888546;0.00400203341038139;0.0013356771613000924;0.5148520323936384
IBTK;0.0027394093949719275;0.0028166578537854024;0.0009402612435001717;0.5148520323936384
PRR9;0.002767159823155439;0.014070427820830239;0.0047018397836094804;0.5148520323936384
PCDHGA11;0.002827865827305643;0.0020271185991563153;0.0006788956217032759;0.5148520323936384
THTPA;0.002834427184611954;-0.004660525486397829;0.0015612118890153417;0.5148520323936384
DEPDC1;0.0029045311155252627;0.0031534019045673495;0.001059000302251436;0.5148520323936384
PHTF2;0.002914299492072768;-0.0021537714492992415;0.0007235466409323467;0.5148520323936384
ZNF567;0.002931561655386226;0.005115509216225766;0.0017195711281687964;0.5148520323936384
GPATCH3;0.002941368134637962;0.00209320131542778;0.0007038690842931803;0.5148520323936384
RPLP0;0.002972505097648445;0.00653745447064274;0.002200705692051295;0.5148520323936384
P2RY8;0.003040125241090174;0.011726928938002307;0.0039568525136322264;0.5148520323936384
KCTD12;0.003072685832000978;0.006361535456593232;0.002148861758825555;0.5148520323936384
TMEM43;0.00308782670704754;0.0022578319102784386;0.0007630629686993235;0.5148520323936384
KHDC1L;0.0031088459393213566;0.012543105943370854;0.004242100359133596;0.5148520323936384
SSFA2;0.003137180956451289;0.001789698565506258;0.0006058527061114021;0.5148520323936384
CFB;0.003149148677542955;-0.0031229345492068445;0.0010576034737992547;0.5148520323936384
LGI1;0.003167964028120336;0.005384849509547814;0.0018247534697304214;0.5148520323936384
EDEM3;0.0031936042252935165;0.002732053200203163;0.000926587654905797;0.5148520323936384
MICALCL;0.003253546064669482;0.001167241729460335;0.0003966489718278561;0.5148520323936384
