genes;p_value;beta_coef;std_err;fdr_bh_adj_pval
NAA20;1,82E-59;0.24076389039510535;0.013179939422150493;3,38E-55
PRAMEF19;5,83E-10;0.10368431339218882;0.010046788138550804;5,41E-05
CCRL2;3,49E+00;0.05354118210306402;0.006564759164769812;2,16E+03
RNF128;8,49E+00;0.02123537842656351;0.0027362288138128295;3,94E+05
IRF6;2,41E+01;0.062467405496714694;0.008189970549101614;8,95E+03
SLC47A1;1,08E+02;0.020944397563048667;0.0028182583626118664;3,33E+06
LRP2;1,04E+04;-0.00897727398085211;0.0012598245805468468;2,76E+07
FAM120C;1,22E+05;0.06208047793448096;0.009644473426136523;2,84E+08
SERP1;1,53E+06;0.1784721848989242;0.027874457775190594;3,16E+09
TMX1;6,95E+06;0.035159796612716364;0.006069996894968527;1,29E+11
SLC22A2;8,27E+06;0.01976175835660956;0.003429014887181134;1,40E+11
CEACAM7;1,11E+08;0.0667823679095958;0.01168861748891767;1,72E+11
PRAMEF8;1,79E+08;0.09051100212391505;0.016071853485194822;2,55E+11
MT1E;2,36E+08;0.08900343033829959;0.015939225216977947;3,12E+10
ALOX5AP;2,88E+08;0.05363947023282221;0.009666276173537451;3,56E+11
ETFRF1;4,21E+07;0.04092921822796622;0.007465985486609255;4,88E+10
SLC22A7;6,08E+07;0.01669317933244599;0.0030817740500267282;6,64E+07
FAM229A;7,45E+07;0.06603839027475451;0.012274400513927088;7,48E+10
SP140;7,99E+06;0.036162170836869525;0.0067372153036452075;7,48E+10
SLC34A3;8,07E+07;0.01150587282833939;0.0021442446634412395;7,48E+10
PSMA5;1,38E+09;0.12350629193405574;0.023442361229558065;0.00012170225228071206
LDB1;1,49E+09;0.05340301197302065;0.010164060466072291;0.00012563872385047798
MAGEC3;1,90E+09;0.038729888578498926;0.007435544023123177;0.00015359170096815566
ASAP1;2,43E+09;0.020498651419113438;0.003970171446438413;0.00018797803117087073
EIF4EBP1;2,75E+08;0.04493649637675978;0.008742742470526846;0.0002043342525434564
AMPD2;5,05E+08;0.01891937421354294;0.0037652737100191515;0.00036028181465513063
HIST1H4F;6,40E+08;0.033952576354921916;0.006819229353642636;0.0004398759514080643
KRTAP1-4;1,23E+10;0.043197920814553974;0.008903826674685084;0.0008124077625236029
SLC19A2;4,05E+09;0.024048180385967392;0.005217500115558427;0.0025894195966830375
KRT9;6,63E+09;0.014245293065467813;0.0031617557471833114;0.004044294137679626
ACCS;6,76E+08;0.01971369578054279;0.004379474399032631;0.004044294137679626
WDR64;9,40E+09;0.011644271000126192;0.0026280825089073246;0.005450355635866798
C9orf152;1,06E+11;0.017659142945421095;0.004008601566322162;0.005943925890442434
HSD11B1;1,55E+11;0.050188006200313065;0.011614512102015619;0.008264148526597735
NFATC4;1,56E+11;0.008665430344948247;0.0020057187682423353;0.008264148526597735
ABCB11;1,90E+10;0.010225452818812415;0.0023908416318113523;0.009773471032436181
ABCA1;2,21E+11;-0.006990633925286149;0.0016478633430192955;0.01110527997107101
TMEM88B;2,29E+11;0.032557012266368965;0.007687271590065154;0.011158235629877252
ADSSL1;2,57E+11;0.011010049865030864;0.0026157823930422538;0.011717111061129588
RAPGEF5;2,57E+11;0.017654148816018327;0.004194587356382628;0.011717111061129588
SLC6A19;2,60E+11;-0.010590767282998898;0.0025180997938166246;0.011717111061129588
FH;2,65E+11;0.019837883498898663;0.004721520642240638;0.011717111061129588
MITF;3,07E+10;0.011405378271339889;0.0027361185793796936;0.01277109712676831
MGMT;3,08E+10;0.019940906597627962;0.004784977220808878;0.01277109712676831
CGNL1;3,10E+10;0.006035891701262718;0.0014487284300717313;0.01277109712676831
NPAS2;3,41E+10;0.014290409724269443;0.0034483564106620743;0.013768185668548096
GALNTL6;4,63E+09;0.02042527086741165;0.005013648285205738;0.01818629683462489
PRSS8;4,70E+09;0.03546234492816696;0.008713167420790185;0.01818629683462489
MYCT1;5,88E+10;0.00874260104587409;0.0021760693875364236;0.02224001536002186
TSR3;5,99E+10;0.01908714274353862;0.004756070296999658;0.02224001536002186
CHST6;6,45E+09;0.014293890509159123;0.0035772251808907085;0.023470362757859114
PREB;6,69E+10;0.014396632164838837;0.003610847635921412;0.02388458044384635
IL10RA;7,17E+10;0.018089887042015865;0.004555759327757393;0.024771774952037202
FNDC3A;7,24E+10;0.01443665095777868;0.0036378122733710543;0.024771774952037202
ATR;7,34E+10;0.007627703368897218;0.001923746946441365;0.024771774952037202
MKLN1;8,97E+10;0.029838669067684776;0.007617548653969687;0.029038501735900165
SLC35G1;9,02E+09;0.017854175335019047;0.0045598351688360406;0.029038501735900165
EGR3;9,42E+10;0.059545930001663507;0.015247683076304341;0.029038501735900165
OIT3;9,44E+10;0.01605598612625733;0.0041120012275252275;0.029038501735900165
DERL2;9,47E+09;0.048557196138233484;0.012438157963383947;0.029038501735900165
TPPP;9,55E+10;0.027392037620033914;0.007020070204299298;0.029038501735900165
HOXA9;9,89E+10;0.01240132302268931;0.003185276139395166;0.029606597050641257
IMPA2;0.00010466457196747912;0.01570354147997898;0.004047697832533766;0.030827869800453055
THG1L;0.00011507959530042347;0.014106135885146623;0.003657772043762038;0.033365890162416534
APLP1;0.00012039516923260353;0.009419725046558185;0.0024495930269316144;0.0343700424658491
LKAAEAR1;0.0001270234816638878;0.03610506711814268;0.009421344733106175;0.03571284432962275
XPO7;0.0001291601710479592;0.02655724038245883;0.006937342592361989;0.03577158408904375
PHC1;0.0001408864352654392;0.01461702640290614;0.0038398073501117584;0.03844542195272779
SORBS2;0.0001525082176376529;0.011568187646207637;0.0030546705494736096;0.04101365922440996
SLC25A45;0.0001619972110857399;-0.008197998021334163;0.0021733723701470318;0.04274176594733171
OR4A47;0.00016520497426754222;0.0191781928093274;0.00509093932294487;0.04274176594733171
PHF20;0.00016584431710540433;0.013121947034849571;0.0034841734572053007;0.04274176594733171
CCDC9;0.0002026145851127809;0.009882280704424441;0.002659509217741561;0.05150296221031181
RNF44;0.00021648028122250217;0.01377036544079828;0.00372266755425685;0.05428389322114527
MAFA;0.00024531103088966323;0.020421118098828506;0.005568590094322938;0.06069321985584788
RNF139;0.000250269042537665;0.021402324539239792;0.005844315927135257;0.061105162543801474
ZMYND19;0.0002538650398944834;0.03062913126576762;0.008372230499901639;0.06117817766600045
NPC1;0.0002682168763732054;0.009639643146519224;0.0026451309801785827;0.06380810715360512
TTF1;0.0002774050731631363;0.017364683559017283;0.004776260518620108;0.06515858908373617
SMCO1;0.00028227306571104044;0.013121576676238624;0.003613628313654217;0.06547323759167582
C11orf96;0.000303155338184772;0.02899414134218446;0.0080256688394782;0.06944877105378554
ARG1;0.0003336942635654806;0.01291569157126812;0.003599973998388988;0.07551257017952509
AAMDC;0.00034401574315951296;0.022927460893223818;0.006404739733442275;0.07691031482009546
PLOD1;0.00035309621967116695;0.006999558441266463;0.0019590417947246046;0.07800063633593064
