genes;p_value;beta_coef;std_err;fdr_bh_adj_pval
CST3;4,13E-31;-0.0014152869652722905;9,81E+10;7,67E-28
NAA20;7,30E-08;0.0013103911994519091;0.00013309793712455034;6,77E-04
SH2B3;1,48E-02;0.00016482329071703424;1,87E+11;9,15E+00
CGNL1;5,64E+05;9,06E+10;1,46E+11;2,39E+09
LRP2;6,43E+05;-7,86E+09;1,27E+10;2,39E+09
ACER2;5,56E+07;0.0003013977979419544;5,17E+09;1,72E+11
SLC34A3;1,28E+08;0.00012310599997599302;2,16E+11;3,39E+11
PIK3CA;4,95E+08;0.0003901134926047562;7,76E+10;0.0011472740493120878
TMEM88B;1,07E+10;0.00037781845685008823;7,74E+10;0.0022079989924306334
ASB9;1,87E+10;0.0007488491775072298;0.00015708061753505272;0.0034680956073924658
MITF;2,17E+10;0.0001308215588092607;2,76E+10;0.0036629741889481864
GEMIN7;2,90E+08;0.0004460062902974077;9,53E+08;0.004483208476722534
GATA5;3,23E+09;-9,67E+10;2,08E+11;0.004605140297155796
KCNK9;4,83E+09;0.0006380441867735001;0.00013955371200471132;0.0064072802210419595
OR4A47;6,95E+10;0.00023076057549096548;5,13E+10;0.008597893627510074
HOXA9;7,76E+08;0.00014375617598145202;3,21E+10;0.00900115125992078
FAM120C;1,60E+09;0.00041986803801836005;9,73E+10;0.017499639098054454
PKHD1;1,84E+11;-5,09E+10;1,19E+11;0.018975563074636933
GZMA;2,65E+10;0.00015739414906002966;3,75E+10;0.02434665380608577
GPR160;2,66E+11;0.00028637959422168435;6,82E+10;0.02434665380608577
CHST6;2,76E+11;0.00015145109771058315;3,61E+11;0.02434665380608577
EGR3;3,07E+10;0.0006413447880992392;0.00015385280286177102;0.025869255737383755
CST9;3,27E+11;-0.00029551795568533054;7,11E+10;0.026394282990765686
PFDN1;4,65E+10;0.0005310962996761055;0.00013040516915932063;0.035954770554487384
SERP1;5,40E+11;0.0011357717226653493;0.0002812859456221611;0.039876669439654566
APLP1;5,59E+10;9,97E+10;2,47E+11;0.039876669439654566
ALG13;8,21E+10;0.00018520670876471813;4,70E+11;0.05643349154454165
KCNN4;0.0001000494815230677;0.0001390316963053431;3,57E+10;0.06630422068364444
CCND3;0.00010521201720890159;0.00027584701256067403;7,11E+10;0.06732117901132337
CSNK1G2;0.0001176395645725446;0.0001741306856349773;4,52E+10;0.07276399200693792
INMT;0.00012800499407929398;0.00013411097961181;3,50E+11;0.07662131193985093
RNF139;0.00013350183393561843;0.00022515825431493862;5,89E+11;0.07741437595341674
MRPL20;0.00014539128771107535;0.00027092254625265405;7,13E+10;0.08175396165959739
MED13L;0.00015883844931209064;0.00011634865371650102;3,08E+10;0.08668841957162217
NPC1;0.00018332871511677986;9,98E+10;2,67E+10;0.09719564679162762
RMI1;0.0001996908602134807;-0.00016933063435688362;4,55E+10;0.10292954450337077
DGCR2;0.00022255857593221772;-9,92E+10;2,69E+10;0.1116161333783306
CTDSPL2;0.0002529726012130976;0.00032414277899026853;8,86E+10;0.11868746059262958
ETFRF1;0.0002538429935193439;0.0002756213939225121;7,53E+10;0.11868746059262958
PRAMEF19;0.00025999506324177597;0.0003703699451248049;0.00010140736821792452;0.11868746059262958
ABTB2;0.0002622432573991061;9,68E+10;2,65E+09;0.11868746059262958
MSN;0.00027004387297626287;0.0003798594095740142;0.00010428391268777035;0.11930795492732223
CPA6;0.00027695530381811385;-5,94E+10;1,63E+11;0.11951587482904467
LKAAEAR1;0.00029528503966505727;0.0003451457102011312;9,54E+10;0.12452975445510917
PSMA5;0.0003022100387281773;0.0008547800291961473;0.0002365527725138539;0.12461798841422352
ISX;0.0003094493699817117;0.000160411181940863;4,45E+10;0.12482918498653571
LZTS1;0.0003272529449293433;6,64E+10;1,85E+11;0.12920224778955094
ATR;0.00035123382942475094;6,94E+10;1,94E+11;0.13240512621330758
TAOK3;0.00035247731820901444;0.0001699679448871738;4,76E+10;0.13240512621330758
BAALC;0.0003567717347847262;0.00033859109695359555;9,48E+09;0.13240512621330758
TRMT2A;0.00037117937584745685;-0.00010097925306926503;2,84E+11;0.13285856306533766
TEPP;0.00037231328300267076;0.00016810155213936416;4,72E+11;0.13285856306533766
OIT3;0.00038167137493567375;0.0001474893632615133;4,15E+10;0.1336281893076672
SP140;0.0004185965434339913;0.00023989075929526065;6,80E+10;0.14167965919800488
GALNTL6;0.00042470417021408553;0.00017815150630247923;5,05E+11;0.14167965919800488
MAGEA6;0.0004275738798818858;0.00037923150270153806;0.0001076587326783133;0.14167965919800488
AMPD2;0.0004824411528946452;0.0001325404917811836;3,80E+11;0.15290047926270214
SRI;0.00048318713579935987;0.00025677883079512116;7,36E+10;0.15290047926270214
SEMA3E;0.00048615694527373495;0.000126830215458142;3,64E+09;0.15290047926270214
AGO4;0.0005462946406784206;0.00014333254080888886;4,15E+10;0.16895072254047955
SPINK13;0.0006228617020545337;0.000347718868677822;0.00010162661412203166;0.18882493395585312
TSPAN6;0.0006309089192316714;0.00023307625561317253;6,82E+10;0.18882493395585312
CLDN10;0.0006834976333145659;0.00019894848982805968;5,86E+10;0.20033301425150524
SORBS2;0.0006909524095762198;0.00010456591293702162;3,08E+10;0.20033301425150524
ADSSL1;0.0007284995213660107;8,91E+10;2,64E+11;0.2074426704498032
SLC35G1;0.0007623254931405048;0.00015486627503971692;4,60E+11;0.2074426704498032
CCRL2;0.0007631638283928195;0.00022284220599321582;6,62E+10;0.2074426704498032
HECTD4;0.0007661670598027526;-4,48E+10;1,33E+11;0.2074426704498032
STS;0.0007713701369388025;0.00019396530290622906;5,77E+10;0.2074426704498032
JAK2;0.0008026603448262197;7,10E+09;2,12E+11;0.20983822597959773
ACAD11;0.000802894699533921;7,97E+10;2,38E+11;0.20983822597959773
CNBD1;0.0008418433943234738;-0.0001334983620453419;4,00E+11;0.21696175034814416
REEP3;0.0008938601734362383;0.0002279690213810525;6,86E+10;0.2272119092915457
ZFX;0.0009746953912645907;0.00024140829401828463;7,32E+10;0.24441145513926682
PDZD3;0.0010147527331951928;8,26E+10;2,51E+11;0.2510633562289333
IRF2;0.0011173074446881046;0.00024432849440507616;7,50E+09;0.2727994334688483
IFNL1;0.0011402361926331425;0.00025471509144984073;7,83E+10;0.2736506036105791
ZC3HC1;0.0011542500874353679;-9,53E+10;2,93E+11;0.2736506036105791
OFD1;0.0011650354432655608;0.00026137838448893043;8,05E+10;0.2736506036105791
SLC6A14;0.001290105852521313;0.0003651835458226897;0.0001134732549173812;0.29790949359602054
ZNF705B;0.0013004240666780376;0.0005562171696920169;0.00017295584829861142;0.29790949359602054
ALDOB;0.0013325902135333072;-6,13E+10;1,91E+11;0.30155541466248836
ZBTB7B;0.001372515333144151;0.00017525573130786014;5,48E+11;0.30464688460808215
PSG1;0.001379086996501342;-0.00020331991772055312;6,36E+10;0.30464688460808215
SLC4A1AP;0.0014321346811380698;0.00011644257412920675;3,65E+11;0.30723414243303265
SMAD4;0.001444867956079601;0.00035964098124396715;0.0001128959888686346;0.30723414243303265
GRIA1;0.0014565493685644384;0.00011551858244710457;3,63E+10;0.30723414243303265
IL23R;0.0014570276209369946;8,81E+10;2,77E+11;0.30723414243303265
CARF;0.0014897340590163104;0.00010115290684343582;3,18E+10;0.3106011820124343
IER5;0.0015466889879866903;0.0001659496123986815;5,24E+10;0.31889289845645585
FLNC;0.0015830607351319534;-3,49E+11;1,11E+11;0.32237889046880336
RABGAP1L;0.0015983432810481736;0.00011080661769324816;3,51E+11;0.32237889046880336
PENK;0.0016721101332982963;9,67E+10;3,08E+10;0.33263674638417134
