genes;p_value;beta_coef;std_err;fdr_bh_adj_pval
UGT1A7;1,43E-07;-0.0019069889119554173;0.00019054563610151917;2,66E-04
UGT1A5;3,44E-07;0.002798115103140705;0.00028203434087761755;3,19E-03
UGT1A1;3,38E-05;0.004274208623428767;0.0004641970371788768;2,09E+00
SLCO1B3;1,41E+01;0.0015080227825903653;0.0001888487694188428;6,56E+03
MROH2A;6,59E+04;-0.0006124097127922947;8,92E+10;2,44E+08
SLCO1B1;1,38E+05;0.0010124397032988516;0.0001497559620814113;4,27E+07
GABRA5;2,83E+07;0.0027329730354101285;0.0004599587799619439;7,49E+09
RBBP4;8,08E+07;0.008262148998393318;0.001539824329237072;0.0001874288664033595
UGT1A8;1,39E+09;-0.001159560551492493;0.0002201771357504189;0.00028718390576613445
UBE2N;3,96E+08;0.014717157535446179;0.0029021465525577547;0.0007348816916568378
GMFB;5,27E+08;0.0029800296559562775;0.0005940274913055829;0.0008261596102744964
UGT1A10;5,34E+08;0.001073180620888051;0.00021404349448396218;0.0008261596102744964
ATPAF2;9,06E+08;0.0018604882465066348;0.00037882757105816233;0.0012938951149447672
BGLAP;6,61E+09;0.0030862333126911528;0.0006849204098097703;0.008765032927062277
UGT1A9;1,94E+10;-0.0015567609345684538;0.0003644043520293122;0.022849119953263847
UGT1A6;1,97E+11;0.002282707701718368;0.0005347910737701986;0.022849119953263847
STK40;2,64E+11;0.0010476404590952703;0.0002492803938102283;0.02881454005536376
UGT2B4;3,07E+11;0.0009627374615429563;0.00023095651409033274;0.03163253875645146
TRPM8;3,81E+09;0.0004512276180683048;0.00010954745994998329;0.037184568590383174
LINGO1;4,74E+10;0.0011807190542885968;0.00029021210702432775;0.043933520309120205
ZNF347;5,50E+10;-0.0007439030386358656;0.00018442455261184716;0.048556130528157146
DTWD1;7,59E+10;0.0008382391392851594;0.00021182270038620538;0.06397965845647434
TAS2R60;9,39E+09;0.002001446388604566;0.0005123994136581532;0.07573720740379743
OR5R1;9,84E+10;0.0007361445323321118;0.00018901957472015391;0.07610782295572005
HIST1H4J;0.00012718355538955754;0.0032832580565820653;0.0008568065677344865;0.09440072215234518
ATP1A2;0.00014235806701821697;0.0008119292783659691;0.00021343227586399105;0.10159985736884747
UGT1A3;0.00018416552322248847;-0.0008647150750619652;0.00023121248540874467;0.12656946107098133
DGKD;0.00020067976771311443;-0.0005025243649816194;0.0001351500159140604;0.1329933489173054
PKHD1L1;0.00022253792097482044;-0.0001762912113475559;4,77E+10;0.14239357453823337
ACVR1C;0.0002641943898156441;0.0007527694099037421;0.00020634004514564675;0.1634130365806364
PAM;0.00031980209012496836;0.00030432903032547986;8,46E+10;0.19142734143093268
CDKN2C;0.00035592582405643755;0.0032139759092845157;0.0009000527726167572;0.20083482355177792
DNAL1;0.0003571647541069558;0.001460901355816186;0.00040922011045033325;0.20083482355177792
ORC3;0.0003830372210620608;0.000516770687263031;0.0001455035800920355;0.20904819629492943
TM6SF2;0.00040424258492090877;0.0006110181104535948;0.00017273108267905403;0.21241104955812654
HIST1H2BE;0.0004177806350263725;0.0017122189832307056;0.00048522854306479136;0.21241104955812654
FAAH;0.00042354003199238425;-0.0006231669004675383;0.00017678192576357684;0.21241104955812654
RERE;0.0004429939239303932;0.00048748584012335425;0.00013876052289066364;0.21632092769611516
ASB13;0.00045562504915463;0.0008597068170774584;0.0002452334075853417;0.21678406184905935
CATIP;0.0005320756289148758;0.0006076770486246265;0.00017541843129818854;0.24682988425361085
ZNF433;0.0005539054842481986;-0.0005938463256546263;0.00017196359945761383;0.25068951623681884
UGT1A4;0.0006076834752108621;-0.0007345820267958206;0.00021427316735078426;0.2684803468098276
