genes;p_value;beta_coef;std_err;fdr_bh_adj_pval
GGT1;2,14E+00;-0.05464961220560578;0.006887957530685052;3,96E+05
CCL1;1,34E+04;0.42587964017305163;0.06005912361233972;1,24E+07
LRRC37A;2,01E+04;0.5075662018581216;0.07215533182858758;1,24E+07
ARL4C;6,13E+06;0.3178902748554112;0.05468055446118517;2,84E+11
CYP46A1;1,20E+08;0.0999953780579481;0.017541475953501896;4,44E+11
AP1S1;1,67E+07;0.14412254949147316;0.02553683460110845;5,16E+10
RORC;4,29E+08;0.02710158075226303;0.0049468230737280865;0.0001138420841238742
C7orf73;1,20E+09;0.6796712035037556;0.12840744944858756;0.0002793735840310891
FBXW5;2,86E+07;-0.02086063533343372;0.004064189160495397;0.0005532258038706534
SYNJ2;2,98E+09;-0.016390925629980176;0.003198316634451593;0.0005532258038706534
LCN12;6,44E+08;0.07754496510478406;0.015578497430685376;0.001086710903052513
PROK1;1,72E+10;0.11400672004099834;0.023828648655637157;0.0026540223409740023
A1CF;2,70E+09;0.033638458817806735;0.007168568911734771;0.00372424791832507
NRN1;2,81E+09;0.17510609427035462;0.03738039580706531;0.00372424791832507
G6PC;4,18E+09;0.045113933348206944;0.00980185929949559;0.005166267904893005
SENP8;5,43E+09;0.1642959617063654;0.03612826054587107;0.006269843018334243
GABRA5;5,74E+09;0.09538696421470652;0.021029962698203803;0.006269843018334243
DEFB136;7,36E+09;0.148823893611657;0.03319589542665296;0.00758605045646048
CRIPT;8,81E+07;0.1195754329792827;0.02690336620435585;0.008605040881174955
TUBB2A;1,07E+11;0.21325084185707416;0.048431802850723925;0.009907335428121677
SMC1B;1,29E+11;0.04150806847276944;0.009514999892291317;0.011375899807162514
ANKS3;1,37E+11;0.035927280786013135;0.008260510426117475;0.011528118751741413
PALM2-AKAP2;3,16E+10;0.6156013126558598;0.14792369557106788;0.025509478307185526
ERCC1;3,86E+10;0.053395646834683674;0.012974018267786892;0.02987631193843044
LRRC75B;4,85E+11;0.025525446670948273;0.006282268922945787;0.03596300782703548
ADAMTS1;5,84E+11;0.013577444066466353;0.003378096126763727;0.04168733025893822
H3F3C;6,88E+10;0.08202900220061582;0.020606769707244513;0.04724983192410548
ASXL1;0.00010042688221385499;0.026221697662138194;0.006741374994124847;0.06655432951286762
SYNPO;0.00010849844416302193;0.029309966716741926;0.007571947896859962;0.06942403896169086
