genes;p_value;beta_coef;std_err;fdr_bh_adj_pval
G6PC2;8,49E-01;-0.0009855197440518091;0.00012245619037195145;1,58E+04
GCK;6,43E+02;0.003732095627349261;0.0005189481683068593;5,97E+06
DYNLL1;8,10E+06;0.012700828536735714;0.002202437598231169;5,01E+11
ASB7;1,15E+11;0.004020898060139809;0.0009165234560442153;0.04963153918011251
MAP3K15;1,34E+09;-0.0004741217855449702;0.00010889172587361805;0.04963153918011251
EIF3G;1,72E+11;0.0034379557145606055;0.0007997511478277249;0.05315081443337986
SPDYE1;2,06E+11;0.001712489852248174;0.00040216336055931;0.05466730124705734
TICAM2;4,01E+11;0.02219361270178037;0.005403702049290709;0.0929827325359535
MAGOH;4,83E+10;0.007127872139539532;0.0017540004581436922;0.09948661303900573
CNTN2;5,36E+11;0.0006294990892226215;0.00015583911768274526;0.09948661303900573
NKAIN3;7,41E+10;0.002997890814000213;0.0007564956445250893;0.12498951207970431
PIGK;8,67E+10;0.001360318938373347;0.00034656298290564985;0.13408497772963135
LENG1;0.00010225433538390716;0.0008825778360408815;0.00022715843119455807;0.1459562651833678
PYURF;0.00015628558199651238;0.002505726281424882;0.0006627202595755722;0.18035051961989726
UCN2;0.00016845367187316243;0.0022384908577415988;0.0005949849787096273;0.18035051961989726
TMEM151A;0.0001721905461976888;0.0008962098424874199;0.0002385583336616514;0.18035051961989726
LCE1E;0.000173689068241681;0.003429458789163886;0.0009134008685921536;0.18035051961989726
ELOVL6;0.00017494661312557398;0.004876510764500806;0.0012994337929363767;0.18035051961989726
SHKBP1;0.0002129648956509068;0.0006677514652889186;0.00018031639879957065;0.20798824229990667
A4GALT;0.00026428685499661243;0.0021926414117429587;0.0006010364867270077;0.24520534406585698
RAB30;0.00028582651901135954;0.003629701178610547;0.0010004925658927916;0.2525617565130851
DDIT3;0.0003318510077875689;0.0008899280126298893;0.0002479481331225946;0.2736285422797153
CD59;0.0003391601892882869;0.006519033959342964;0.0018191880788759297;0.2736285422797153
APTX;0.0004073746820109448;0.0007033836712254804;0.00019895735688565467;0.3149685249747955
SSU72;0.00047738512853880935;0.004271775637194281;0.0012228757737396737;0.35433433780664586
CAPN9;0.0005161135461023453;0.0003588002772389081;0.00010333109982621422;0.3683462677490431
TNKS1BP1;0.0005662714503015482;-0.00028541071879285075;8,28E+10;0.38316000705443903
TNS3;0.0005781677192026457;0.0003743049069046798;0.0001087546380581016;0.38316000705443903
KLF12;0.0006005446597677414;0.0018115490770047934;0.0005279251990550398;0.3842657485051796
FAHD2B;0.0006223988858336179;0.000945249295349615;0.00027624795607335875;0.38497445751762044
C1orf195;0.0006565880522766656;0.0029636422038972787;0.0008698243654148998;0.3930208999369615
HEPACAM2;0.0006972823140235959;0.00054297117943084;0.0001601342541296193;0.40433658184443266
ZNF16;0.0007588511703446098;0.0013035781706246714;0.00038711009127594527;0.4267043126337751
LDLR;0.0008482593693871607;-0.000896640083226774;0.0002687268019501257;0.46295002524553397
ARPP21;0.0009243011539617064;-0.0006575549172926289;0.00019849617003073338;0.49003654708003974
UBE2Z;0.0009918661170762635;0.002377185816229016;0.0007219132571869964;0.49003654708003974
SCGB3A1;0.0009975450307916894;0.006088513148395607;0.0018498859743727328;0.49003654708003974
ABCB4;0.0010214833114669166;0.0003953800741387154;0.00012037336581020736;0.49003654708003974
EPRS;0.0010398390949429186;-0.0007528138413968275;0.0002295449736630356;0.49003654708003974
PPP2R5C;0.0010863208653658278;0.0012444937491084102;0.0003809015767130857;0.49003654708003974
UGT2A1;0.0011015658175273458;0.0017338131623825118;0.0005313092438106278;0.49003654708003974
CKAP2L;0.0011301138408066392;0.0005047819314977439;0.00015503005100052627;0.49003654708003974
HSD17B2;0.0011355664757728878;0.0007811633872566139;0.0002400138677188791;0.49003654708003974
SAYSD1;0.0012677326680302409;0.0008336657401001368;0.0002586409895638962;0.5346374406356625
PPARG;0.0013439438953596209;0.0020367336643836074;0.0006351900957115992;0.5353638519846667
C2orf15;0.0013970631984795384;0.008358641864338677;0.0026158979722182073;0.5353638519846667
FAM32A;0.0014183801217958444;0.0022364214652264153;0.000700863584927062;0.5353638519846667
SLC2A4;0.0014230953816850645;0.0006672921540415764;0.00020918301449889508;0.5353638519846667
COL9A3;0.0015360104696588704;-0.0004455264961605465;0.00014063966746554016;0.5353638519846667
PPM1G;0.0015622207525219417;0.001515494268671316;0.00047914175274648823;0.5353638519846667
