genes;p_value;beta_coef;std_err;fdr_bh_adj_pval
HBB;3,68E-12;0.06100822577980622;0.005543276955081172;
SOD1;8,04E-07;0.05606576478991894;0.00583956786706621;
PIEZO1;5,85E-05;-0.0031081992342152365;0.0003308662629209777;
GCK;4,27E-03;0.022502694425715765;0.0025946749269738487;
PTTG1;2,03E-01;0.03388552990405364;0.004121551623232332;
G6PC2;2,82E+03;-0.004712780630590953;0.0006452751587427044;
SSU72;9,33E+06;0.03708752471042152;0.006458001481368864;
TIPIN;1,12E+08;0.015107662233221061;0.002644632295425128;
AMPD3;3,42E+07;0.00385895305147908;0.0006992181428058052;
SLC25A39;1,48E+09;0.01163629236008058;0.0022141698835772446;
SCD5;5,66E+08;0.00998310736003463;0.0019955641406188044;
SLC2A4;1,24E+10;0.005293680954724543;0.0010915669249492452;
ZFP1;1,96E+09;0.010106477209957379;0.0021242240428961112;
TFR2;2,20E+10;-0.0034013197857781785;0.0007184548086466108;
BTF3;2,56E+10;0.020916537127188245;0.004447138915475775;
MAP3K15;2,83E+09;-0.0026708192365688353;0.0005702849130144251;
TNFRSF13B;9,18E+09;-0.0038501765234014904;0.0008679968495942133;
ASPSCR1;9,65E+07;0.005217216966844296;0.0011790114133604463;
LRFN2;1,07E+11;0.007268022634437821;0.0016510149726073362;
EIF3G;1,56E+09;0.018165962744610836;0.004205350724157241;
ANK1;1,91E+11;-0.002520961792551667;0.0005896044232756734;
PTPRH;2,09E+11;0.0029353221241073;0.0006898280061780883;
MMD2;2,33E+10;0.008647388493844879;0.002044076330902333;
OR13C8;2,47E+10;0.010351411673728328;0.0024540388280995637;
SFMBT1;7,06E+10;0.0063728124816518125;0.0016034288625504233;
CYB5D2;7,67E+10;0.007068518812616869;0.0017873699758146938;
SLC44A4;8,09E+09;0.0043648574603075965;0.0011073531543952337;
SRSF3;9,95E+10;0.049566766135724784;0.012735637119072907;
HNF4A;0.00010174824657494757;0.006113847712603633;0.0015730996829555577;
DEDD;0.00015209668209983237;0.014894677667402842;0.003932353979889465;
BLVRB;0.00017304734893947645;-0.003560865463803127;0.0009481665369952505;
ATG16L1;0.0001945007123850819;0.0058227892256783815;0.0015626808157241819;
TRIM40;0.00020722797483404187;0.003990004027753531;0.0010754331199092162;
JAG2;0.000250303581960002;0.0026700539412905094;0.0007291157195549688;
LOC388813;0.0002527864564579189;39.638.903.568.468.300;10.831.736.534.515.400;
SPACA4;0.00025640843814829853;0.00834149154104222;0.002281672412136623;
C7orf77;0.0002791127980095729;0.0805834930874981;0.022174599914266385;
ZNRD1;0.0002880250758287748;0.00709402912406909;0.0019564710297829318;
DYNLL1;0.0002961796523684467;0.04428715252380549;0.012238379440324883;
PPP1R35;0.00032098714371166107;0.005537131849871034;0.0015390172612540886;
SUMO2;0.00033537791063468537;0.13329306770373112;0.037166163777546585;
MAGOH;0.0003469450716951085;0.035506918648683536;0.009924920179227565;
LANCL2;0.0003644201252395963;-0.006026410926860085;0.0016905887615602285;
ABCA7;0.00037286568118452556;-0.0018890944075464452;0.0005308432306490771;
KRTAP20-3;0.0003879564644190746;-0.09019600741127469;0.02541999635949591;
PDZRN4;0.00041344452217930013;0.0030854510098865316;0.0008737101418896171;
ZCCHC24;0.00045852400155957585;0.007684412197032405;0.0021930598060215904;
DKK1;0.0004675574055970621;-0.0035089913442676764;0.0010029216702134322;
DDX41;0.0005000343262273515;0.00595772715551394;0.0017115871513829991;
C12orf45;0.0005262767083817449;0.0177360163580688;0.005115527769777025;
LIN7C;0.0005490340283753069;0.011176351450395297;0.003234180674656034;
ALAD;0.0005506978458166652;0.007207089487982609;0.002086059463478591;
RPS6KL1;0.0006036275436521912;0.005539825317317633;0.0016150821006189332;
PRDM2;0.0006116371153817475;0.0032742797994758646;0.0009555813448028618;
SIPA1L2;0.0006165664540344771;0.0019164396916818579;0.0005596590418317961;
STH;0.000628539304091734;0.05107252129196901;0.014937553940899687;
