genes;p_value;beta_coef;std_err;fdr_bh_adj_pval
IGFALS;1,65E-21;-0.012143069522017233;0.000961976766817825;3,06E-16
IGFBP3;4,91E+02;-0.013684589584876856;0.0018931752617630936;4,56E+06
C2CD4A;1,57E+07;-0.004897111292717394;0.0008111774087727738;9,73E+09
JAK2;1,05E+08;-0.00414849780827923;0.0007248554525884575;4,86E+10
KRTAP19-4;1,75E+10;0.05487266846067138;0.01147853446026486;0.006497073450724201
WDR6;2,96E+10;-0.0034770047687522117;0.0007439868217236274;0.009166982353725909
G6PC;3,89E+09;-0.006236379830373809;0.0013506481962314762;0.010313282137763948
STAB1;4,73E+09;-0.001932953853079855;0.00042235986472405584;0.010973184993833483
PDE11A;9,98E+09;0.002000718598121848;0.0004528842318345751;0.020580031565514398
PHC3;1,45E+11;-0.003132394501187166;0.0007222490984763181;0.02682048836185953
SPSB3;1,96E+11;-0.00463960244802265;0.001086567706869277;0.033001184874086945
SIX6;3,21E+10;0.0031055813618668933;0.0007468354639054321;0.049603332322710386
GHRHR;5,38E+10;-0.005848886436616627;0.0014483049310499072;0.07684546300778464
CRAMP1;0.00010570481781064412;-0.0025803070206414586;0.0006655049405437234;0.14010418566387944
DISP1;0.00011407537014013598;0.003341655267524898;0.0008660218904681282;0.14111883788802423
PLEKHH3;0.00014509464092896018;-0.0028890472497804264;0.0007603917096331771;0.15432970755198472
SSTR5;0.00014670934216772568;0.004921898095143098;0.001296370459737636;0.15432970755198472
ZFAT;0.00014970547186547343;-0.0026827609580484173;0.0007075429088707827;0.15432970755198472
IHH;0.00016643929260284473;0.006415336916281934;0.0017038214680672444;0.1625498691335993
MSR1;0.00017531192195646648;-0.003973301897965637;0.001058907359401053;0.16265440119120958
PXYLP1;0.00019314781052861524;0.005367027500547416;0.0014396880311337613;0.16461317765418285
VPS26B;0.00019516544020219996;0.009349400222643463;0.0025097111473347832;0.16461317765418285
OSGIN1;0.00022652772602055218;-0.0020827049691549467;0.0005647973558802034;0.1781251794132998
AGAP4;0.00023063955258004797;-0.004069720644501778;0.0011050182687457684;0.1781251794132998
GPR34;0.00024743026692232195;0.022828210118544117;0.006228712483543547;0.1781251794132998
NDUFB11;0.0002580795130348701;0.012397472193025802;0.0033926667943416085;0.1781251794132998
SHBG;0.0002706234622294385;-0.004707876155694493;0.0012926626375180628;0.1781251794132998
CTDSP2;0.0002782330516637984;0.013370521741779707;0.00367841923032468;0.1781251794132998
HGS;0.0002783805886498003;-0.0030001617208293752;0.0008254178705089071;0.1781251794132998
ZDHHC19;0.0003070245700887989;-0.004433560019315467;0.0012283414176288059;0.18990493075225842
GHSR;0.00032535520798241714;-0.005897187779528025;0.001640699013681424;0.19158390673083706
ACVR2A;0.0003363797649939452;0.008496682713056373;0.002369650334445412;0.19158390673083706
P2RX5;0.00034888640778720723;0.0016552718975281482;0.00046287209558937097;0.19158390673083706
