genes;p_value;beta_coef;std_err;fdr_bh_adj_pval
PCSK9;4,01E-40;-0.0025786959165188484;0.00016482954439598173;7,44E-36
LDLR;2,95E-25;0.002601598863175734;0.00019332095625362985;2,74E-21
ABCA1;2,70E+08;-0.0005009057353384961;9,01E+10;0.00016673278181074044
NKPD1;5,67E+07;-0.0009162381279347418;0.00016875982961265571;0.00026295619196431994
TM6SF2;5,87E+08;-0.0008567376835275061;0.00017149055459064687;0.0021766524940778813
SYPL2;2,61E+09;-0.0007201165335560541;0.00015323644762124046;0.008077700194261673
NPC1L1;1,15E+11;-0.0005185526315274678;0.00011818277491835216;0.030385940200183762
SNX8;1,53E+11;0.0004848756068884617;0.0001121319814026632;0.03169845591191435
ABCG5;1,54E+10;0.000483176445883284;0.0001117583875556234;0.03169845591191435
UGT2B10;4,36E+10;-0.0007280670448653034;0.00017810737136024984;0.080852149730374
DYM;6,47E+09;-0.0005689148841140008;0.00014240867729197314;0.10498495555128838
PRPF38A;6,79E+10;0.0014738306563781098;0.00036996830045477177;0.10498495555128838
MRPL32;9,71E+10;-0.00032719043171652043;8,39E+10;0.1386186164062808
RTN4;0.00011218867956985448;-0.0003906492293908611;0.00010113369086547106;0.14869808129273
KLC4;0.00012177258351914862;0.0005443554111826351;0.00014166205035029015;0.15064080398542146
SAV1;0.00022041199241788794;0.0010351588076725872;0.0002801901482956863;0.25562280820664557
NT5C3A;0.00028929950850400905;0.0008447402333681179;0.00023304555229018407;0.31577892234119953
ASGR1;0.0003271675384519309;-0.0009903392362244682;0.000275640391653774;0.33727338019522385
PRKRA;0.00042764887910216594;-0.0011613149948911225;0.0003296860943653048;0.4055945848039006
HOXB8;0.0004371573451216864;0.0026808077434251325;0.0007623179103564675;0.4055945848039006
CCDC38;0.00046721398632807945;0.0007381825873894954;0.00021097192452433487;0.4128391776335163
C17orf53;0.0005224869741434539;0.0007912319718860228;0.00022808432182379757;0.4406940132820878
ZFP28;0.0006067683480453384;0.0008760005522130922;0.0002554946098911123;0.4674417911830231
PPWD1;0.0006382294366700523;0.0007930096945541216;0.00023222050311372223;0.4674417911830231
TNRC18;0.0006460041579735054;0.00028065326907733876;8,23E+10;0.4674417911830231
ZNF212;0.0006549626304569196;-0.00034892906251756485;0.00010239000233823331;0.4674417911830231
AANAT;0.0006863375132433415;-0.0010262776570232656;0.00030228623675551783;0.47169181095346085
PLA2G12A;0.0007739974280037118;0.00033287449677887475;9,90E+10;0.5129391526441742
ABCA8;0.0008707202818252056;0.0002906074919861864;8,73E+10;0.5412076683990658
CLDN10;0.0008843750774425048;0.0010556345583696554;0.0003174832113033704;0.5412076683990658
PACS1;0.0009041516339928346;-0.0008967125577643332;0.0002701887412170498;0.5412076683990658
H1F0;0.0010450232250928061;-0.002700197447099303;0.0008236873466492853;0.5485207095737605
MFSD13A;0.0011204501005734897;-0.000625948046272952;0.0001920994472568139;0.5485207095737605
APOB;0.0011211359022959546;-0.00022270363270598034;6,83E+10;0.5485207095737605
PRDM14;0.0011574114879465355;0.0009293043246211106;0.00028600690837581744;0.5485207095737605
DDX56;0.001165101710156326;-0.00036747075135158615;0.0001131600858733043;0.5485207095737605
OR6C75;0.0012484108186222504;0.0012052053867538854;0.00037340076543738315;0.5485207095737605
PROC;0.0012537528425336888;0.0010024719288185889;0.0003107068278458553;0.5485207095737605
RABL2B;0.0012580330804249787;-0.001106578705160005;0.00034307748442126337;0.5485207095737605
GLTPD2;0.0012814031790471853;-0.0008058498104105876;0.0002502502859638244;0.5485207095737605
PPM1H;0.001342210172597982;-0.000633190199418973;0.00019744861978864093;0.5485207095737605
GNAL;0.001400686274501129;0.0011371316362716508;0.0003559575271480638;0.5485207095737605
POMK;0.001416832637860522;-0.0009336949858461189;0.0002925786841771006;0.5485207095737605
ANGPTL3;0.001430943641011316;-0.000405513844851855;0.0001271842479896382;0.5485207095737605
SND1;0.0014737693268011933;0.000597220266212788;0.0001878133642427805;0.5485207095737605
MRGPRX2;0.0014945690437162824;0.0014156803441294117;0.00044577174472788323;0.5485207095737605
URGCP;0.001498651702873181;0.0005174195224730021;0.00016296652467460927;0.5485207095737605
SP4;0.0015442383983938273;-0.0009717164207627949;0.0003068934459373275;0.5485207095737605
SEMA6D;0.0015715211829599226;0.0005141278848201917;0.00016263687206564552;0.5485207095737605
ZC4H2;0.0016282922237180143;-0.0030039833813155937;0.0009533883423631818;0.5485207095737605
FGB;0.00163701356828804;0.0004038214531816268;0.00012822622942565122;0.5485207095737605
HRH4;0.0016396305865769394;-0.0006790467483239747;0.00021565103177613278;0.5485207095737605
AGPAT2;0.0016627176528088512;0.0005757174557424564;0.00018307354125396004;0.5485207095737605
ZNF831;0.0016944973303210696;0.0003941982338331633;0.00012557325323139;0.5485207095737605
UGT2B11;0.00179138175512106;0.0004130091152292792;0.00013225349349151445;0.5485207095737605
RNF26;0.0018180161812422478;0.0013137585112816762;0.00042127723533267827;0.5485207095737605
SMYD4;0.0018230807345814561;-0.0005133621389403221;0.00016466090017577727;0.5485207095737605
ABCG8;0.0018437523771074609;0.00030781168389391606;9,88E+10;0.5485207095737605
OR9Q2;0.0018472349390552315;-0.0006308545347647982;0.00020259884276335036;0.5485207095737605
UGT2B7;0.0018550608750984858;-0.0006410881559133795;0.00020596790127940982;0.5485207095737605
ABCG2;0.0018625978597738276;0.0003956267271524884;0.00012715530248156627;0.5485207095737605
RTN2;0.001870308484097546;0.0006788189491691378;0.00021825949412645029;0.5485207095737605
ZBTB20;0.001871154029908917;-0.0006871748389255176;0.00022095563419245273;0.5485207095737605
NKX2-6;0.001934390200985984;0.000893784812280519;0.00028830080281809153;0.5485207095737605
RPL10;0.0019359523882416117;0.004824717961780216;0.0015563895645982467;0.5485207095737605
LEO1;0.0019746633581694526;-0.0010412858743429818;0.00033654211827171274;0.5485207095737605
BNIP2;0.0019930305902731696;0.0007069153544512041;0.00022867713965245878;0.5485207095737605
STMN4;0.0020461947878886375;0.0013882152741412444;0.0004502076615393402;0.5485207095737605
PCYT1A;0.0020474063715232873;-0.0007249237048895094;0.00023511112209648346;0.5485207095737605
ATP6V1C2;0.002069220180543395;-0.0005885074595519107;0.0001910633918725873;0.5485207095737605
ADSS;0.0021126330566248455;0.000987739568385831;0.0003213227969475323;0.5521411126581779
CCL5;0.0021941320714881436;0.001049780040091241;0.00034276649409813685;0.561177668997808
POTEJ;0.0022076939985363215;0.00032909102818883874;0.0001075171537567268;0.561177668997808
ABCB10;0.0022580529546081815;-0.0007107422160474016;0.00023272020395616812;0.5662220354825597
SBF1;0.0022979509726671825;-0.00023588222369649766;7,74E+10;0.5666025406999832
UFL1;0.0023735303514987225;0.0004816377406531266;0.00015848203029601593;0.5666025406999832
CACNB2;0.002399273558880404;-0.0003240822976150102;0.00010675291110854456;0.5666025406999832
