genes;p_value;beta_coef;std_err;fdr_bh_adj_pval
LPA;1,88E-20;-0.09580830408051226;0.00759567597617863;3,49E-17
PLG;1,77E-13;-0.07000522625079686;0.006322584885340289;1,64E-08
MRPL18;8,82E+06;0.09778561636471457;0.016999272721703693;5,46E+10
AIF1;8,61E+10;0.14079871348172637;0.035854570171272165;0.28080150708312446
TNFAIP8L1;9,08E+10;0.1059505887825389;0.02706913262642668;0.28080150708312446
OTOF;0.00010016116792213207;-0.014044816654731264;0.0036101802406818153;0.28080150708312446
PCDHA9;0.00010592857025123254;0.03490048675203996;0.009002560458344222;0.28080150708312446
ZNF570;0.000149558331560692;0.08127707809696974;0.02143423778565238;0.3469005500550251
HPRT1;0.0001752492568398995;0.40278371206877067;0.10734086992490878;0.361325023324575
C19orf73;0.00024531450720872034;0.1919063835367739;0.052330251734503834;0.4552055995765014
SNRNP27;0.00039590581428260385;0.07809488396952081;0.022042633539355087;0.593511195754878
HES4;0.000412322092126915;0.038014310026375744;0.01076230560499315;0.593511195754878
MLX;0.00042818695689137885;0.07685278175399905;0.021819697298421648;0.593511195754878
CDC34;0.0004746708262119019;0.08152459575854389;0.023327686405592993;0.593511195754878
SHANK1;0.0004797730079932727;-0.03200734624088883;0.009166164187989405;0.593511195754878
GUCA1B;0.0005221973054723321;0.05347925465374962;0.015415435634006979;0.6056183250215371
PLXNB1;0.0006061996093093972;0.02147085337054161;0.0062616960558690895;0.6452838259447177
ZNF302;0.0006259489581270165;0.042553894385903755;0.012441903191823894;0.6452838259447177
MORC2;0.0007443835439105192;0.04902532631494653;0.014535593464932528;0.67433657619882
SPAG17;0.0008390406907751093;0.023577243652528484;0.007059749683277411;0.67433657619882
MRPL34;0.000850959022641203;0.05868086957256523;0.017591499090562502;0.67433657619882
H2BFM;0.0008685368499242393;-0.09162055570566695;0.027513166029924256;0.67433657619882
AASDH;0.0008893149932201096;-0.025690708081779503;0.007730078105016714;0.67433657619882
KRT5;0.0009198769973463448;0.043129406181808584;0.01301416133139446;0.67433657619882
GNG7;0.0009289440046703772;0.19266583284047625;0.05818447570482046;0.67433657619882
TESPA1;0.0009790624312546194;-0.0428538882263797;0.012999578867625958;0.67433657619882
