genes	coeff	p_value	stderr	fdr_bh_adj_pval
RPS27L	-0.0055458736314702	0.974887901306308	0.176179471370624	0.9964368060933794
ADRA2A	-0.0478555163108426	0.77017649034465	0.163807946189938	0.960543431088564
PDE4DIP	0.0210990021065314	0.888266653365647	0.150173134594891	0.9799120170865028
TRPC7	-0.0847552932748935	0.618472268651794	0.170185643542897	0.9278078349292295
RAB33B	-0.244117238772945	0.123066860126119	0.158309242580846	0.6724873498606935
TAS2R10	-0.233089971814863	0.143378430144398	0.159287887885412	0.6949163821838091
ATP2B3	-0.0367109735107429	0.811397971032985	0.153845110830377	0.9677200894779683
TMEM179	-0.102491286243602	0.523752639681723	0.160752610490404	0.900721287267616
SNX33	-0.239871995190979	0.117367984249402	0.153183056659865	0.6657202464534837
VPREB3	0.0193863135043455	0.89973101535859	0.153858228415173	0.9819415835824937
PCDHB16	0.0213963675196433	0.891376437401724	0.156677941951524	0.9801703241470259
C1orf68	-0.0169187768652741	0.922072841251194	0.172952949209057	0.9870441700506921
FNIP2	-0.168636275382638	0.317301373954027	0.168633092572317	0.8234187641822573
CGB8	-0.0131055412956255	0.935609016205042	0.162217509257983	0.9896576269280989
PIGF	0.12042049793845	0.420345955106584	0.149438236003384	0.8697001548244591
GPRC5A	0.0010602686778326	0.9946987501089	0.159578552512571	0.9995895404329573
TXK	0.0639849070551237	0.698443784025818	0.165155564636021	0.9459605099463745
TMEM120B	-0.0605429253162471	0.717827909632633	0.16754034541206	0.9521000757099111
KDM2B	0.102815713320945	0.557446080486974	0.175262275971629	0.9118450008085237
TOM1L2	-0.0664653829580553	0.704835380166897	0.175462367973875	0.948268864233093
WHRN	0.130504332816818	0.418244687338389	0.161221894083326	0.8692751244668104
GPATCH8	0.196652244562833	0.211836995190148	0.157507012217328	0.7487771500642622
C8orf89	0.287437056699545	0.091031353562509	0.170082886617869	0.6248279520732848
CHP2	0.227262527982526	0.154060976965164	0.159445220460253	0.7058575292466348
WDR63	0.0383559161532477	0.819362247267195	0.167958585135384	0.9694278392683261
ANO1	0.122488040295553	0.428100352086673	0.154569468343436	0.8727417078098005
ALKBH2	-0.212881115472646	0.150621445080402	0.148107709119908	0.7004528324816235
SRPK1	0.0421382914233253	0.78650412606666	0.155576263724401	0.9629027460725966
DDHD2	0.104255841382719	0.499714696516257	0.154467120762336	0.8929964116228323
ANKS3	0.0030690135140624	0.985413891002127	0.167870821515893	0.9981815040777097
NRIP3	0.136156208521351	0.387898494438588	0.157691374568376	0.8572750880394642
TMEM68	0.0302624850633019	0.824840080365271	0.136733794677828	0.9707553345106636
PARP8	0.0665373933772244	0.690331982742755	0.167009609812127	0.9451501587060848
NHLH2	0.187739453767936	0.28088125341946	0.174100137175638	0.7990210150107782
LRPPRC	-0.0985730000103385	0.579168563940003	0.177737236619957	0.9178464541128141
DCAF1	0.175492391712287	0.266714888899102	0.158007357363953	0.7886719000533969
ITGA9	-0.0016182454734507	0.992584080259174	0.174105779663816	0.9992261925095534
MRGPRX3	-0.0508414324589016	0.76012107063289	0.166517529025664	0.960226988703882
