genes	const_pval	sex	age	bmi	p_value	beta_coef	std_err	fdr_bh_adj_pval
ALOX5	5.366703216542383e-22	0.6781444330521287	0.9523465700762471	0.8380141334652211	4.035234486205461e-05	-0.17355989261260865	0.040300620266956313	0.4292211202531265
TRIM47	6.776339130304611e-22	0.5549299061025978	0.9269591623649138	0.32608775483764785	5.164942359033262e-05	-0.12513217530103804	0.029505381735321107	0.4292211202531265
L3MBTL3	3.863724308283176e-14	0.7706145134266156	0.22031016794549607	0.13304789550117438	6.847452064660353e-05	0.20129969414848553	0.048328191299927416	0.4292211202531265
GSE1	6.96670246316308e-08	0.8076448359565804	0.33136225318628054	0.4020903073776926	0.0002542973597626136	0.24247875172077574	0.06379114532727738	0.5786381174614169
OR5J2	2.481668074981195e-21	0.9686964393071575	0.7921113323192736	0.14134100112619372	0.00026324613266660103	-0.07802925360487957	0.02058142770008859	0.5786381174614169
SLC35F5	3.966356270373384e-16	0.5353510833598811	0.8545231154945923	0.2943807225550107	0.0002680140497285819	0.12049887794674607	0.03182659072156691	0.5786381174614169
FNDC3B	3.2978761290226792e-21	0.6273159533689805	0.47771978183003416	0.30692029182942365	0.0002860179621228526	-0.16589287667498076	0.04403312177918921	0.5786381174614169
FANK1	2.8843469852458323e-21	0.8018129551855505	0.8364724157897692	0.2842995182072433	0.0003047469523423185	-0.19617034767371375	0.052323182048248505	0.5786381174614169
GAREM2	3.821632369827069e-21	0.7165238294435472	0.21901114140207997	0.12730325140050378	0.0003078597852202707	-0.16026444393290928	0.04277967226052087	0.5786381174614169
CPA5	3.846676907628804e-21	0.6189642177164258	0.8685872970604855	0.35171952889035873	0.0003142430207285895	-0.1504234746857926	0.04021636028301928	0.5786381174614169
TMPRSS11E	7.143965351213972e-21	0.7966993577086753	0.5583146706541975	0.5905452072061046	0.00033847483605826034	-0.10256705423547086	0.027580125771664958	0.5786381174614169
