genes	const_pval	sex	age	bmi	p_value	coef	std_err	fdr_bh_adj_pval
SUGP1	0.026117574626267598	0.7806661687335633	0.22725490518278113	0.6656850845444278	6.668842498550219e-05	-0.8789442547787775	0.220408226163005	0.972862399768415
COX7B	0.7039153100432515	0.9006120509600835	0.29765590588996216	0.8972768524800179	0.0004334848646629376	0.49742555597493093	0.1413618148781848	0.972862399768415
CPA5	0.409645228780961	0.3837014595544972	0.23614843521690676	0.9241181967218085	0.0007086826463336492	0.6584444262373893	0.19444948331727926	0.972862399768415
GDE1	0.11492693997551681	0.44425167787415465	0.1692465007654308	0.9528687449435229	0.0008033117802044505	-0.26374392284535053	0.0786907444133151	0.972862399768415
FAM217A	0.25073307005542667	0.9786334709296146	0.19576963973105654	0.4089416469952183	0.0010548801668266133	-0.49775646133763185	0.15196510816955047	0.972862399768415
ZSWIM5	0.021878928515065926	0.6615616069801467	0.062440424180850725	0.4717398210647351	0.0013913986751409365	-0.5577157911391439	0.17448087209306745	0.972862399768415
PRR5	0.01544616960065404	0.42825628497856716	0.16449564053071497	0.44792172108006967	0.0014249960007116553	-0.9575429887227983	0.3002135418256003	0.972862399768415
SDHC	0.5978257070675731	0.6880560814084615	0.1521811524659842	0.730167834160403	0.0014512802574870995	0.3688267125481723	0.11582832571859755	0.972862399768415
STAU2-AS1	0.22112932270074748	0.9124156647978959	0.205593013389331	0.9079179145046967	0.0015014914342777834	-0.2264205368671671	0.07132714372867108	0.972862399768415
PLEKHF2	0.23321021284647103	0.9257798544861651	0.40148601059410394	0.8202054417982736	0.0015128843194125783	-0.26772324136877823	0.08439669164939441	0.972862399768415
GDF5-AS1	0.3794165529164548	0.961691870643909	0.27516718739871904	0.5544582884601916	0.0016880179601360815	0.17263557477316033	0.054975047127620316	0.972862399768415
BMP7	0.03933603408626278	0.8703298759350454	0.12807110524192422	0.9993920175663671	0.001970445463656298	-0.5274060113370003	0.1704250321751605	0.972862399768415
ZNF169	0.9574658939942227	0.5518631852559797	0.06981438699215613	0.9180319460443709	0.0021242300697576605	0.45830166522669763	0.1491726419419487	0.972862399768415
CDYL2	0.054536681692284456	0.2949745059440865	0.12634027367509532	0.8940481382215923	0.0021264214601516857	-0.7549324427944697	0.24574763273323055	0.972862399768415
XPO1	0.31976371234398326	0.5672856823566339	0.39951554128919176	0.6909385103689882	0.0022997404085733806	1.0276897045286393	0.3371113778597738	0.972862399768415
BDKRB1	0.0990488956285909	0.8302623364868602	0.10791995330842752	0.9285738998853439	0.0023466802544682554	-0.2536089139831938	0.08335705981569466	0.972862399768415
TSPOAP1-AS1	0.731595490408117	0.57786200493514	0.1699398211013885	0.7374500804111906	0.002578772992455838	0.4293526561693427	0.1424555248568786	0.972862399768415
DLEU7	0.091345571576975	0.28692647275564787	0.16007173384818651	0.9319268612814269	0.002647755464378896	-0.35609011258136464	0.11846279688581593	0.972862399768415
ST8SIA6	0.5206469543200865	0.23912865060040078	0.3287789425618468	0.9147916385104309	0.0027150749367938288	0.32720211116278025	0.10912991338577112	0.972862399768415
HPD	0.8793058911240799	0.7692656173826068	0.06824754694388863	0.7987975536376244	0.0028341284278176108	0.38270942651797235	0.12820319467700442	0.972862399768415
SYT13	0.9462205905157525	0.35437386178738894	0.1716759156151071	0.446061262358842	0.0028393146884442963	0.559262453259343	0.1873815047645698	0.972862399768415
MAPK3	0.09883474065256607	0.5583970469473885	0.18435944826428885	0.9344960104000504	0.002878213137802644	-0.3011384731529222	0.10103778055122198	0.972862399768415
HSPA9	0.06283870418255175	0.5146544720761623	0.16727133201996713	0.9677942254365445	0.002961453526713979	-0.5173558351575369	0.1740935926225639	0.972862399768415
CYBC1	0.9043979157829057	0.8014784416379556	0.14656614236697246	0.7631587308106242	0.0030529756211223236	0.36172931689854987	0.12210878258772738	0.972862399768415
RNF207	0.053118115641275096	0.4602738306166547	0.07007041832326859	0.6405997209196084	0.0030531720018936535	-0.5884959310335336	0.19865960186345588	0.972862399768415
ZNF76	0.04350489853580956	0.6454434274429701	0.19218678987258198	0.7575637798603068	0.0031145825188858603	-0.3287331636803204	0.11120137859880994	0.972862399768415
HIGD1A	0.211480735991755	0.9727041964413684	0.19235822794319413	0.7579623200274013	0.0031182993403506506	-0.3335062850222947	0.11283003384938592	0.972862399768415
CSGALNACT2	0.6570107606850435	0.8674741204992853	0.30419758639510963	0.51531982738762	0.0031300901492981575	0.39335961904449873	0.13313172791381928	0.972862399768415
ESRP1	0.2909971393656089	0.634115798479671	0.5605742547778709	0.7942827390946106	0.003318116955166293	0.5121077822215073	0.1743868769777023	0.972862399768415
ECI2	0.23443550194589458	0.8031430300243414	0.19966735723895757	0.7220339761881387	0.003357809211371904	-0.24809791922642563	0.08459050282804374	0.972862399768415
FBXO4	0.08200322210064057	0.5293688760194275	0.16909770832088222	0.732267317440801	0.003568965595715748	-0.29434355495680575	0.10101216360450702	0.972862399768415
SDCBP	0.11386595334425077	0.7182538110061215	0.19107452551635518	0.9517179793355401	0.0035766491733123236	-0.3034090598468926	0.10414724130939572	0.972862399768415
PCBP1	0.7606192288619243	0.7269029685332202	0.2527022080332577	0.8502089931119021	0.003719570394534273	0.23033831054909792	0.07939923619979689	0.972862399768415
LYPD6	0.8525173014382945	0.7806957242540147	0.2525987540863779	0.8582679872982222	0.00385380055393453	0.21025783998302183	0.07275641705622678	0.972862399768415
ZNF563	0.9095585855460588	0.7534158708916978	0.13867499987880316	0.9418842485989033	0.003911857709092323	0.46221296909059995	0.16020228663131042	0.972862399768415
FUNDC1	0.727362843747495	0.5735091352869794	0.3186001585192175	0.8372370848722653	0.003974520960148396	0.3291722808789521	0.11428891082894539	0.972862399768415
FABP3	0.8775626307216602	0.6340276336000417	0.33811295278458453	0.6095582143482476	0.004023534526516704	0.1499491362572137	0.052132454366582794	0.972862399768415
VWA5A	0.644375209473287	0.8890517959812522	0.13657009249946112	0.7370715306709579	0.004215783964328785	0.6688498914440729	0.23373713132445412	0.972862399768415
CCDC168	0.23589545760436104	0.6871599734831313	0.6237932552437819	0.9058420282636312	0.004380064194339136	1.3396440750075493	0.4701481762673966	0.972862399768415
GPC5	0.9456659393914688	0.5174820106239388	0.2017858335245134	0.5514482251431114	0.00438580711862355	0.35223486837178375	0.12363493727905293	0.972862399768415
C20orf203	0.7795938864097016	0.9609179251812361	0.11602591413831656	0.9613883429672903	0.00439309149867433	0.36362591621022633	0.12765687088726452	0.972862399768415
