MAE	MSE	RMSE	R2	RMSLE	MAPE
0.4825	0.326	0.571	-0.0344	0.0737	0.0724
0.3855	0.2392	0.489	-0.0064	0.0594	0.0536
0.3023	0.1496	0.3867	-0.2536	0.047	0.0412
0.4293	0.3262	0.5711	-0.0933	0.0692	0.0587
0.3259	0.1997	0.4469	-0.0188	0.0574	0.048
0.4877	0.3323	0.5765	-0.0687	0.0734	0.0724
0.5682	0.4831	0.695	-0.0962	0.0836	0.0768
0.7216	0.6645	0.8152	-3.6195	0.1085	0.1185
0.399	0.2498	0.4998	-0.0353	0.0606	0.0548
0.4077	0.2956	0.5437	-0.1402	0.0654	0.055
0.451	0.3266	0.5595	-0.4366	0.0698	0.0651
0.1168	0.1416	0.1164	1.0632	0.0161	0.0208
