Accuracy	AUC	Recall	Prec.	F1	Kappa	MCC
0.9181	0.9835	0.8706	0.8605	0.8655	0.8067	0.8067
0.9288	0.9848	0.9059	0.8652	0.8851	0.8336	0.834
0.9217	0.9847	0.9059	0.8462	0.875	0.8181	0.8191
0.9075	0.9792	0.8706	0.8315	0.8506	0.7836	0.7841
0.9288	0.9872	0.9294	0.8495	0.8876	0.8357	0.8375
0.9395	0.9831	0.8941	0.9048	0.8994	0.8562	0.8562
0.9288	0.9824	0.8941	0.8736	0.8837	0.8324	0.8326
0.9464	0.9854	0.9167	0.9059	0.9112	0.8729	0.8729
0.925	0.9815	0.8706	0.881	0.8757	0.822	0.8221
0.9	0.9756	0.8353	0.8353	0.8353	0.7635	0.7635
0.9245	0.9827	0.8893	0.8653	0.8769	0.8225	0.8229
0.013	0.0032	0.0263	0.0249	0.0212	0.0305	0.0306
