MAE	MSE	RMSE	R2	RMSLE	MAPE
0.5993	0.5831	0.7636	0.4561	0.3465	2.6399
0.5329	0.4545	0.6742	0.5437	0.3248	2.3743
0.5915	0.5441	0.7376	0.454	0.3445	3.5099
0.5844	0.537	0.7328	0.5087	0.3427	1.7958
0.528	0.428	0.6542	0.5102	0.327	20.6054
0.6061	0.582	0.7629	0.4412	0.348	2.319
0.5795	0.5453	0.7385	0.4349	0.3469	15.4118
0.5795	0.5602	0.7485	0.4561	0.367	1.5575
0.6059	0.5714	0.7559	0.4342	0.3561	3.479
0.5946	0.5345	0.7311	0.4195	0.3449	2.184
0.5801	0.534	0.7299	0.4659	0.3449	5.5877
0.0265	0.0496	0.035	0.0386	0.0117	6.346
